Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
183.000000, 5.340576, 21.820068, 9.765625, 20.141602, 24.719238, 20.904541, 14.343262, 7.171631, 41.656494, 1.831055, 0.500000, 0.500000, 0.000000, 0.000000
352.000000, 5.493164, 21.820068, 9.765625, 20.141602, 24.719238, 21.057129, 14.343262, 7.171631, 42.266846, 1.831055, 0.500000, 0.500000, 0.000000, 0.000000
521.000000, 5.340576, 21.514893, 9.765625, 19.836426, 23.956299, 20.446777, 13.885498, 7.019043, 41.351318, 1.831055, 0.505495, 0.501832, -0.005495, -0.001832
692.000000, 5.340576, 21.362305, 9.613037, 19.683838, 24.261475, 20.599365, 14.038086, 7.019043, 41.656494, 1.831055, 0.500000, 0.501374, 0.005495, 0.000000
861.000000, 5.340576, 21.057129, 9.613037, 19.531250, 24.108887, 20.446777, 13.885498, 7.019043, 41.656494, 1.831055, 0.505495, 0.502198, -0.005495, -0.001099
1031.000000, 5.340576, 21.209717, 9.613037, 19.683838, 24.261475, 20.599365, 14.038086, 7.019043, 41.503906, 1.831055, 0.500000, 0.501832, 0.005495, 0.000000
1202.000000, 5.340576, 21.209717, 9.613037, 19.531250, 24.108887, 20.599365, 14.038086, 7.019043, 41.656494, 1.831055, 0.500000, 0.501570, 0.000000, 0.000000
1372.000000, 5.340576, 21.362305, 9.613037, 19.683838, 24.108887, 20.599365, 14.038086, 7.019043, 41.656494, 1.831055, 0.500000, 0.501374, 0.000000, 0.000000
1542.000000, 5.340576, 21.362305, 9.613037, 19.531250, 24.108887, 20.599365, 14.038086, 7.019043, 41.503906, 1.831055, 0.500000, 0.501221, 0.000000, 0.000000
1711.000000, 5.340576, 21.209717, 9.613037, 19.531250, 24.108887, 20.446777, 14.038086, 7.019043, 41.503906, 1.831055, 0.500000, 0.501099, 0.000000, 0.000000
1881.000000, 5.340576, 21.209717, 9.613037, 19.683838, 24.261475, 20.599365, 14.038086, 7.019043, 41.656494, 1.831055, 0.500000, 0.500999, 0.000000, 0.000000
2051.000000, 6.866455, 28.533936, 12.664795, 25.939941, 22.277832, 20.141602, 14.038086, 7.171631, 26.702881, 1.525879, 0.510870, 0.501822, -0.010870, -0.000906
2223.000000, 6.866455, 29.449463, 12.054443, 22.277832, 18.463135, 17.242432, 12.817383, 6.408691, 35.705566, 1.525879, 0.500000, 0.501681, 0.010870, 0.000000
2394.000000, 6.103516, 23.803711, 10.070801, 17.700195, 22.583008, 21.514893, 15.716553, 7.934570, 47.912598, 1.831055, 0.504854, 0.501908, -0.004854, -0.000347
2566.000000, 3.509521, 15.869141, 6.713867, 9.460449, 11.138916, 12.359619, 8.850098, 5.187988, 23.651123, 1.220703, 0.586207, 0.507528, -0.081353, -0.005747
2736.000000, 3.204346, 14.343262, 6.103516, 8.850098, 10.375977, 11.444092, 8.239746, 4.882813, 23.345947, 1.068115, 0.592593, 0.512845, -0.006386, -0.005787
2907.000000, 1.983643, 10.375977, 4.577637, 5.493164, 6.713867, 7.324219, 5.340576, 3.662109, 16.479492, 0.915527, 0.685714, 0.523013, -0.093122, -0.010924
3075.000000, 1.983643, 11.444092, 4.425049, 4.425049, 5.187988, 7.629395, 5.493164, 4.119873, 13.580322, 0.610352, 0.750000, 0.535624, -0.064286, -0.013889
3243.000000, 2.136230, 14.343262, 4.730225, 3.967285, 6.408691, 11.138916, 9.918213, 6.561279, 16.784668, 0.610352, 0.661538, 0.542251, 0.088462, -0.008502
3412.000000, 4.882813, 23.040771, 6.256104, 5.493164, 5.035400, 8.850098, 7.324219, 5.645752, 13.580322, 0.610352, 0.770833, 0.553680, -0.109295, -0.013542
3580.000000, 6.256104, 30.517578, 10.223389, 10.528564, 12.969971, 17.089844, 13.580322, 10.528564, 19.226074, 1.220703, 0.775281, 0.564232, -0.004448, -0.013109
3754.000000, 6.866455, 32.501221, 13.427734, 17.242432, 20.141602, 20.294189, 15.869141, 12.054443, 23.803711, 1.220703, 0.759615, 0.573113, 0.015666, -0.011801
3928.000000, 6.256104, 29.754639, 13.732910, 20.141602, 19.226074, 17.852783, 13.885498, 10.986328, 22.125244, 1.220703, 0.791209, 0.582596, -0.031593, -0.012661
4102.000000, 3.356934, 18.463135, 9.613037, 15.411377, 21.362305, 17.242432, 13.885498, 10.986328, 23.193359, 1.220703, 0.791209, 0.591288, 0.000000, -0.012134
4274.000000, 5.340576, 25.482178, 14.343262, 24.566650, 23.040771, 16.937256, 12.969971, 10.986328, 24.108887, 1.220703, 0.847059, 0.601519, -0.055850, -0.013882
4449.000000, 5.950928, 26.855469, 16.784668, 30.975342, 27.160645, 17.089844, 13.580322, 10.681152, 25.787354, 1.220703, 0.786517, 0.608634, 0.060542, -0.011020
4622.000000, 5.187988, 24.414063, 15.258789, 31.433105, 25.329590, 16.174316, 12.817383, 10.223389, 26.245117, 1.220703, 0.797619, 0.615634, -0.011102, -0.011023
4798.000000, 5.340576, 27.160645, 16.479492, 35.552979, 28.228760, 17.395020, 13.122559, 10.833740, 26.245117, 1.220703, 0.825581, 0.623132, -0.027962, -0.011628
4972.000000, 6.256104, 28.533936, 18.768311, 40.893555, 25.329590, 16.326904, 12.054443, 10.223389, 29.144287, 1.525879, 0.848101, 0.630889, -0.022520, -0.012003
5146.000000, 6.561279, 26.092529, 18.615723, 37.231445, 27.160645, 17.089844, 12.969971, 10.375977, 26.550293, 1.525879, 0.800000, 0.636526, 0.048101, -0.010000
5318.000000, 5.035400, 24.414063, 15.869141, 35.400391, 26.092529, 16.784668, 12.054443, 10.375977, 29.144287, 1.525879, 0.860759, 0.643760, -0.060759, -0.011637
5493.000000, 4.577637, 21.820068, 14.801025, 31.738281, 25.024414, 14.953613, 11.138916, 9.765625, 22.735596, 1.525879, 0.876712, 0.651039, -0.015953, -0.011772
