WaitFor Valve On
WaitProgram Started
Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
183.000000, 5.645752, 19.531250, 8.239746, 19.531250, 22.735596, 19.226074, 12.817383, 5.798340, 35.247803, 1.525879, 0.452381, 0.452381, 0.000000, 0.000000
353.000000, 5.493164, 18.768311, 7.934570, 18.768311, 22.277832, 18.615723, 12.512207, 5.645752, 33.569336, 1.220703, 0.451219, 0.451800, 0.001161, 0.000581
522.000000, 5.340576, 18.768311, 8.087158, 18.920898, 22.888184, 19.226074, 12.817383, 5.950928, 35.095215, 1.525879, 0.464286, 0.455962, -0.013066, -0.003968
693.000000, 5.493164, 19.073486, 8.087158, 19.073486, 22.430420, 18.615723, 12.512207, 5.798340, 33.874512, 1.220703, 0.463415, 0.457825, 0.000871, -0.002758
863.000000, 5.493164, 18.615723, 7.934570, 18.615723, 22.277832, 18.615723, 12.512207, 5.798340, 34.332275, 1.220703, 0.463415, 0.458943, 0.000000, -0.002207
1034.000000, 5.493164, 19.073486, 8.087158, 19.073486, 22.583008, 18.768311, 12.664795, 5.798340, 34.637451, 1.220703, 0.457831, 0.458758, 0.005583, -0.000908
1205.000000, 5.493164, 18.615723, 7.934570, 18.768311, 22.277832, 18.463135, 12.359619, 5.645752, 33.721924, 1.220703, 0.456790, 0.458477, 0.001041, -0.000630
1376.000000, 5.493164, 18.920898, 8.087158, 18.920898, 22.583008, 18.920898, 12.664795, 5.798340, 34.790039, 1.525879, 0.457831, 0.458396, -0.001041, -0.000681
1546.000000, 5.493164, 18.920898, 8.087158, 18.920898, 22.277832, 18.615723, 12.359619, 5.645752, 34.332275, 1.220703, 0.456790, 0.458218, 0.001041, -0.000490
1716.000000, 5.493164, 19.073486, 8.087158, 19.073486, 22.430420, 18.768311, 12.512207, 5.798340, 34.332275, 1.220703, 0.463415, 0.458737, -0.006625, -0.001103
1888.000000, 6.713867, 25.634766, 10.528564, 23.803711, 19.683838, 19.683838, 12.664795, 6.408691, 23.498535, 0.915527, 0.506024, 0.463036, -0.042609, -0.004877
2062.000000, 5.798340, 21.667480, 8.544922, 18.310547, 27.313232, 25.329590, 17.395020, 8.239746, 46.997070, 1.831055, 0.473684, 0.463923, 0.032340, -0.001775
2234.000000, 6.103516, 22.125244, 9.155273, 17.852783, 17.242432, 16.632080, 12.359619, 5.798340, 28.839111, 1.220703, 0.469136, 0.464324, 0.004548, -0.001289
2405.000000, 5.187988, 19.531250, 7.171631, 14.038086, 12.054443, 14.495850, 11.138916, 5.340576, 25.024414, 0.915527, 0.479452, 0.465405, -0.010316, -0.001934
2576.000000, 4.272461, 16.174316, 6.103516, 10.375977, 6.713867, 9.307861, 7.629395, 4.119873, 11.138916, 0.305176, 0.540000, 0.470378, -0.060548, -0.005841
2744.000000, 3.204346, 12.512207, 4.730225, 6.713867, 6.713867, 9.918213, 8.087158, 5.645752, 18.768311, 0.610352, 0.698113, 0.484611, -0.158113, -0.015358
2913.000000, 3.356934, 14.038086, 4.119873, 3.356934, 3.356934, 5.645752, 5.035400, 3.356934, 11.596680, 0.305176, 0.666667, 0.495321, 0.031447, -0.012605
