ing For Valve On
Program Started
Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
183.000000, 12.207031, 47.302246, 21.972656, 48.980713, 55.999756, 43.182373, 32.196045, 14.495850, 36.773682, 1.525879, 0.450237, 0.450237, 0.000000, 0.000000
356.000000, 12.664795, 49.285889, 22.735596, 51.269531, 63.323975, 47.454834, 35.247803, 16.479492, 36.315918, 1.525879, 0.467532, 0.458885, -0.017295, -0.008648
531.000000, 12.969971, 50.659180, 22.735596, 52.185059, 64.392090, 48.980713, 35.247803, 17.395020, 36.773682, 1.525879, 0.493506, 0.470425, -0.025974, -0.014423
705.000000, 12.817383, 49.896240, 22.888184, 51.879883, 61.340332, 45.928955, 34.027100, 16.021729, 36.468506, 1.525879, 0.470852, 0.470532, 0.022654, -0.005154
877.000000, 13.275146, 51.879883, 23.498535, 53.405762, 62.103271, 46.844482, 34.637451, 16.326904, 36.773682, 1.525879, 0.471366, 0.470699, -0.000514, -0.004226
1051.000000, 12.664795, 49.285889, 22.735596, 51.116943, 61.035156, 46.081543, 34.179688, 15.869141, 36.468506, 1.525879, 0.464286, 0.469630, 0.007080, -0.002341
1226.000000, 12.969971, 50.964355, 23.193359, 52.337646, 62.561035, 46.691895, 34.637451, 16.479492, 36.621094, 1.525879, 0.475771, 0.470507, -0.011485, -0.003648
1400.000000, 12.817383, 49.896240, 23.040771, 51.879883, 61.950684, 46.844482, 34.942627, 16.174316, 36.621094, 1.525879, 0.462882, 0.469554, 0.012889, -0.001581
1574.000000, 13.122559, 51.727295, 23.345947, 52.947998, 62.561035, 46.997070, 34.790039, 16.479492, 36.468506, 1.525879, 0.473684, 0.470013, -0.010802, -0.002605
1750.000000, 12.969971, 50.506592, 23.040771, 52.337646, 61.492920, 46.539307, 34.332275, 16.021729, 36.621094, 1.525879, 0.466667, 0.469678, 0.007018, -0.001643
1924.000000, 12.969971, 50.811768, 23.193359, 52.642822, 74.310303, 71.105957, 48.065186, 21.820068, 37.994385, 1.525879, 0.453968, 0.468250, 0.012698, -0.000339
2097.000000, 4.730225, 19.989014, 7.324219, 9.918213, 19.226074, 21.057129, 15.563965, 7.019043, 35.247803, 1.525879, 0.450980, 0.466811, 0.002988, -0.000062
