ing For Valve On
Program Started
Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
183.000000, 7.019043, 32.196045, 16.021729, 32.348633, 48.370361, 39.672852, 24.719238, 12.359619, 39.062500, 1.525879, 0.500000, 0.500000, 0.000000, 0.000000
352.000000, 7.934570, 35.705566, 17.852783, 36.468506, 53.558350, 43.640137, 27.465820, 13.580322, 37.841797, 1.525879, 0.494444, 0.497222, 0.005556, 0.002778
522.000000, 8.087158, 36.315918, 18.157959, 36.773682, 52.337646, 43.182373, 26.855469, 13.427734, 39.978027, 1.525879, 0.500000, 0.498148, -0.005556, 0.000000
693.000000, 7.476807, 34.179688, 16.937256, 34.484863, 51.727295, 42.266846, 27.008057, 13.122559, 37.689209, 1.525879, 0.485876, 0.495080, 0.014124, 0.003531
862.000000, 8.087158, 36.773682, 18.157959, 36.773682, 54.168701, 45.471191, 27.923584, 14.038086, 38.909912, 1.525879, 0.502732, 0.496610, -0.016857, -0.000546
1035.000000, 7.781982, 34.942627, 17.547607, 35.705566, 51.422119, 42.266846, 26.702881, 13.122559, 37.841797, 1.525879, 0.491429, 0.495747, 0.011304, 0.001429
1206.000000, 8.087158, 36.468506, 18.157959, 36.773682, 53.405762, 44.403076, 27.618408, 13.732910, 38.757324, 1.525879, 0.497238, 0.495960, -0.005809, 0.000395
1379.000000, 7.781982, 35.247803, 17.547607, 35.858154, 52.337646, 43.334961, 27.160645, 13.427734, 38.146973, 1.525879, 0.494382, 0.495763, 0.002856, 0.000702
1552.000000, 7.934570, 36.010742, 18.005371, 36.468506, 52.642822, 43.487549, 27.160645, 13.580322, 38.452148, 1.525879, 0.500000, 0.496233, -0.005618, 0.000000
1726.000000, 7.934570, 35.705566, 17.700195, 36.010742, 52.795410, 43.792725, 27.313232, 13.427734, 38.299561, 1.525879, 0.491620, 0.495772, 0.008380, 0.000838
1899.000000, 7.934570, 35.858154, 17.700195, 36.010742, 52.032471, 43.029785, 27.008057, 13.427734, 37.994385, 1.525879, 0.497175, 0.495900, -0.005555, 0.000257
2070.000000, 5.187988, 27.465820, 9.918213, 18.005371, 36.621094, 40.588379, 26.550293, 12.512207, 27.465820, 1.220703, 0.471264, 0.493847, 0.025911, 0.002395
2240.000000, 12.817383, 69.122314, 29.144287, 43.334961, 18.005371, 28.686523, 18.463135, 11.749268, 10.986328, 0.610352, 0.636364, 0.504809, -0.165099, -0.010490
2416.000000, 19.073486, 62.103271, 25.329590, 63.629150, 23.345947, 28.991699, 19.073486, 10.223389, 16.937256, 0.610352, 0.536000, 0.507037, 0.100364, -0.002571
2590.000000, 5.493164, 33.569336, 10.986328, 15.411377, 17.242432, 23.345947, 17.852783, 9.918213, 34.027100, 0.915527, 0.555556, 0.510272, -0.019556, -0.003704
2764.000000, 6.103516, 34.790039, 10.375977, 10.528564, 9.307861, 14.343262, 10.375977, 6.408691, 10.833740, 0.305176, 0.617647, 0.516983, -0.062091, -0.007353
