Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
184.000000, 7.629395, 28.533936, 11.596680, 28.381348, 32.958984, 30.822754, 22.277832, 10.070801, 41.198730, 1.831055, 0.452055, 0.452055, 0.000000, 0.000000
353.000000, 8.239746, 30.212402, 12.664795, 29.754639, 36.926270, 34.332275, 25.939941, 11.291504, 41.046143, 1.831055, 0.435294, 0.443674, 0.016761, 0.008380
523.000000, 8.239746, 30.517578, 12.512207, 30.059814, 36.621094, 33.721924, 25.482178, 11.138916, 40.893555, 1.831055, 0.437126, 0.441492, -0.001832, 0.004976
696.000000, 8.544922, 31.280518, 12.969971, 30.975342, 35.858154, 33.416748, 24.871826, 10.986328, 40.893555, 1.831055, 0.441718, 0.441548, -0.004592, 0.002584
868.000000, 8.544922, 31.585693, 12.969971, 31.280518, 35.858154, 33.111572, 25.177002, 10.986328, 40.435791, 1.831055, 0.436364, 0.440511, 0.005354, 0.003138
1040.000000, 8.392334, 30.670166, 12.664795, 30.517578, 35.552979, 33.111572, 24.719238, 10.986328, 41.351318, 1.831055, 0.444444, 0.441167, -0.008081, 0.001268
1210.000000, 8.544922, 30.975342, 12.969971, 30.822754, 37.231445, 34.179688, 25.787354, 11.291504, 40.588379, 1.831055, 0.437870, 0.440696, 0.006575, 0.002026
1381.000000, 8.544922, 31.433105, 12.969971, 31.280518, 35.400391, 32.958984, 24.566650, 10.833740, 41.198730, 1.831055, 0.440994, 0.440733, -0.003124, 0.001383
1555.000000, 8.392334, 30.670166, 12.664795, 30.364990, 35.858154, 33.111572, 25.024414, 10.986328, 40.893555, 2.136230, 0.439024, 0.440543, 0.001969, 0.001448
1727.000000, 8.392334, 30.822754, 12.664795, 30.670166, 36.468506, 33.721924, 25.329590, 11.138916, 41.046143, 1.831055, 0.439759, 0.440465, -0.000735, 0.001230
1897.000000, 8.544922, 31.127930, 12.969971, 30.975342, 36.163330, 33.416748, 25.177002, 10.986328, 40.893555, 1.831055, 0.436364, 0.440092, 0.003395, 0.001426
2070.000000, 13.732910, 56.457520, 26.855469, 46.539307, 26.855469, 28.533936, 20.904541, 9.460449, 36.315918, 1.525879, 0.452555, 0.441131, -0.016191, -0.000042
2244.000000, 6.561279, 31.280518, 9.918213, 14.038086, 30.059814, 39.825439, 28.686523, 16.021729, 48.217773, 1.831055, 0.558511, 0.450160, -0.105956, -0.008189
2418.000000, 5.950928, 29.449463, 9.460449, 10.223389, 9.307861, 19.531250, 13.885498, 8.544922, 11.291504, 0.610352, 0.615385, 0.461962, -0.056874, -0.011666
2589.000000, 4.119873, 16.632080, 5.340576, 4.119873, 9.918213, 16.326904, 13.275146, 6.408691, 26.092529, 0.915527, 0.482759, 0.463348, 0.132626, -0.002047
2758.000000, 2.746582, 11.138916, 3.356934, 2.899170, 5.340576, 8.392334, 7.781982, 4.425049, 10.070801, 0.305176, 0.568627, 0.469928, -0.085869, -0.007286
2927.000000, 2.899170, 10.986328, 3.356934, 2.899170, 4.272461, 7.324219, 6.408691, 4.119873, 11.596680, 0.305176, 0.642857, 0.480100, -0.074230, -0.011224
3095.000000, 3.051758, 15.411377, 4.577637, 2.136230, 3.051758, 4.730225, 5.798340, 4.119873, 7.476807, 0.305176, 0.710526, 0.492902, -0.067669, -0.014360
3261.000000, 1.831055, 9.307861, 3.204346, 1.525879, 2.288818, 3.356934, 4.272461, 3.356934, 9.918213, 0.305176, 0.785714, 0.508313, -0.075188, -0.017561
3427.000000, 1.220703, 7.019043, 1.983643, 0.762939, 1.220703, 1.983643, 2.899170, 3.051758, 5.645752, 0.000000, 1.052632, 0.535529, -0.266917, -0.030029
3592.000000, 2.288818, 10.528564, 3.662109, 1.373291, 1.220703, 1.831055, 2.899170, 4.272461, 6.256104, 0.305176, 1.473684, 0.580203, -0.421053, -0.048649
3759.000000, 1.068115, 5.493164, 3.204346, 1.678467, 2.593994, 2.746582, 3.662109, 4.272461, 11.444092, 0.305176, 1.166667, 0.606860, 0.307018, -0.032482
3926.000000, 0.915527, 4.730225, 3.967285, 2.899170, 2.593994, 1.831055, 1.983643, 3.051758, 5.950928, 0.305176, 1.538462, 0.647365, -0.371795, -0.047235
4092.000000, 0.610352, 3.356934, 4.577637, 5.035400, 3.356934, 1.983643, 2.288818, 3.509521, 7.934570, 0.305176, 1.533333, 0.684280, 0.005128, -0.045053
4256.000000, 0.762939, 3.967285, 4.730225, 6.561279, 5.035400, 2.136230, 2.593994, 3.509521, 9.002686, 0.305176, 1.352941, 0.711027, 0.180392, -0.036035
4421.000000, 0.762939, 3.356934, 5.493164, 9.918213, 5.187988, 1.678467, 1.983643, 3.051758, 5.340576, 0.305176, 1.538462, 0.742851, -0.185520, -0.041785
4586.000000, 0.762939, 3.509521, 6.103516, 13.427734, 6.561279, 1.831055, 1.983643, 3.204346, 6.713867, 0.305176, 1.615385, 0.775167, -0.076923, -0.043086
4753.000000, 0.610352, 2.746582, 5.340576, 12.054443, 6.103516, 1.831055, 1.831055, 3.204346, 6.713867, 0.305176, 1.750000, 0.809983, -0.134615, -0.046355
4918.000000, 1.068115, 3.967285, 9.002686, 19.378662, 7.629395, 2.288818, 2.136230, 2.899170, 6.103516, 0.305176, 1.357143, 0.828850, 0.392857, -0.031210
5084.000000, 0.915527, 3.204346, 8.087158, 18.615723, 8.697510, 2.441406, 2.593994, 3.662109, 7.324219, 0.305176, 1.411765, 0.848281, -0.054622, -0.031990
