Program Started
Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
181.000000, 5.035400, 17.852783, 8.239746, 17.242432, 21.362305, 17.547607, 12.359619, 5.645752, 35.400391, 1.220703, 0.456790, 0.456790, 0.000000, 0.000000
350.000000, 4.730225, 16.784668, 7.781982, 16.326904, 21.362305, 17.395020, 12.054443, 5.645752, 34.179688, 1.220703, 0.468354, 0.462572, -0.011564, -0.005782
520.000000, 5.035400, 17.700195, 8.239746, 16.937256, 21.820068, 17.852783, 12.359619, 5.645752, 35.247803, 1.220703, 0.456790, 0.460645, 0.011564, 0.000000
688.000000, 4.882813, 17.395020, 8.087158, 16.784668, 21.514893, 17.547607, 12.207031, 5.645752, 35.095215, 1.220703, 0.462500, 0.461109, -0.005710, -0.001427
858.000000, 4.882813, 17.700195, 8.239746, 17.089844, 21.667480, 17.700195, 12.359619, 5.645752, 35.247803, 1.220703, 0.456790, 0.460245, 0.005710, 0.000000
1027.000000, 4.882813, 17.700195, 8.239746, 17.089844, 21.972656, 18.005371, 12.359619, 5.798340, 35.247803, 1.220703, 0.469136, 0.461727, -0.012346, -0.002058
1198.000000, 4.882813, 17.700195, 8.239746, 16.937256, 21.514893, 17.547607, 12.207031, 5.645752, 34.790039, 1.220703, 0.462500, 0.461837, 0.006636, -0.000816
1369.000000, 4.882813, 17.852783, 8.239746, 17.242432, 21.667480, 17.700195, 12.359619, 5.645752, 35.552979, 1.220703, 0.456790, 0.461206, 0.005710, 0.000000
1538.000000, 4.882813, 17.547607, 8.087158, 16.937256, 21.514893, 17.547607, 12.207031, 5.645752, 34.790039, 1.220703, 0.462500, 0.461350, -0.005710, -0.000634
1709.000000, 4.882813, 17.700195, 8.239746, 17.089844, 21.667480, 17.852783, 12.359619, 5.798340, 35.552979, 1.220703, 0.469136, 0.462129, -0.006636, -0.001235
1882.000000, 4.882813, 17.547607, 8.087158, 16.937256, 21.667480, 17.700195, 12.207031, 5.798340, 35.095215, 1.220703, 0.475000, 0.463299, -0.005864, -0.001655
2054.000000, 5.187988, 21.362305, 9.155273, 17.547607, 24.719238, 20.904541, 14.801025, 6.866455, 42.266846, 1.525879, 0.463918, 0.463350, 0.011082, -0.000594
2224.000000, 5.340576, 19.989014, 8.850098, 15.869141, 12.359619, 14.343262, 9.918213, 4.882813, 21.362305, 0.610352, 0.492308, 0.465578, -0.028390, -0.002732
2394.000000, 4.272461, 15.869141, 6.713867, 11.749268, 17.395020, 15.411377, 11.749268, 5.493164, 32.806396, 1.220703, 0.467532, 0.465717, 0.024775, -0.000767
2565.000000, 3.509521, 13.732910, 5.493164, 8.544922, 10.070801, 12.512207, 9.002686, 4.577637, 15.411377, 0.610352, 0.508475, 0.468568, -0.040942, -0.003446
2735.000000, 4.730225, 17.242432, 6.561279, 10.681152, 6.713867, 8.087158, 5.950928, 3.051758, 13.732910, 0.305176, 0.512821, 0.471334, -0.004346, -0.003502
2903.000000, 1.983643, 8.239746, 3.509521, 4.577637, 6.408691, 7.629395, 5.798340, 3.204346, 11.291504, 0.305176, 0.552632, 0.476116, -0.039811, -0.005638
