WaitFor Valve On
WaitProgram Started
Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
182.000000, 5.187988, 17.700195, 7.934570, 17.395020, 21.667480, 18.005371, 12.664795, 5.493164, 37.384033, 1.525879, 0.433735, 0.433735, 0.000000, 0.000000
350.000000, 5.187988, 18.157959, 8.087158, 17.700195, 21.514893, 17.700195, 12.512207, 5.340576, 36.621094, 1.220703, 0.426829, 0.430282, 0.006906, 0.003453
519.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.468506, 1.220703, 0.426829, 0.429131, 0.000000, 0.002302
759.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.621094, 1.220703, 0.426829, 0.428556, 0.000000, 0.001726
927.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.468506, 1.525879, 0.426829, 0.428210, 0.000000, 0.001381
1096.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.621094, 1.220703, 0.426829, 0.427980, 0.000000, 0.001151
1265.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.468506, 1.220703, 0.426829, 0.427816, 0.000000, 0.000987
1436.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.773682, 1.220703, 0.426829, 0.427693, 0.000000, 0.000863
1606.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.468506, 1.220703, 0.426829, 0.427597, 0.000000, 0.000767
1776.000000, 5.187988, 17.852783, 7.934570, 17.395020, 21.514893, 17.700195, 12.512207, 5.340576, 36.315918, 1.220703, 0.426829, 0.427520, 0.000000, 0.000691
1945.000000, 5.187988, 18.005371, 7.934570, 17.395020, 23.803711, 21.209717, 14.343262, 6.713867, 36.926270, 1.220703, 0.468085, 0.431208, -0.041256, -0.003123
