Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
181.000000, 10.375977, 36.163330, 15.869141, 37.689209, 43.792725, 44.097900, 29.296875, 11.291504, 36.926270, 1.525879, 0.385417, 0.385417, 0.000000, 0.000000
354.000000, 10.070801, 35.095215, 15.258789, 36.621094, 39.672852, 39.672852, 26.550293, 9.765625, 38.452148, 1.525879, 0.367816, 0.376616, 0.017601, 0.008800
525.000000, 10.223389, 35.858154, 15.563965, 37.231445, 41.656494, 41.503906, 27.465820, 10.375977, 37.078857, 1.525879, 0.377778, 0.377004, -0.009962, 0.002546
698.000000, 10.223389, 35.400391, 15.716553, 37.078857, 40.283203, 40.283203, 27.008057, 9.918213, 38.146973, 1.525879, 0.367232, 0.374561, 0.010546, 0.004546
870.000000, 10.070801, 35.095215, 15.258789, 36.468506, 41.351318, 41.351318, 27.465820, 10.375977, 37.536621, 1.525879, 0.377778, 0.375204, -0.010546, 0.001528
1042.000000, 10.070801, 35.247803, 15.563965, 36.926270, 41.046143, 40.893555, 27.313232, 10.223389, 37.994385, 1.525879, 0.374302, 0.375054, 0.003476, 0.001852
1214.000000, 10.070801, 35.400391, 15.411377, 36.926270, 40.893555, 40.893555, 27.313232, 10.223389, 37.841797, 1.525879, 0.374302, 0.374946, 0.000000, 0.001588
1387.000000, 10.070801, 35.095215, 15.258789, 36.621094, 40.740967, 40.588379, 27.160645, 10.070801, 37.841797, 1.525879, 0.370787, 0.374426, 0.003515, 0.001829
1560.000000, 10.223389, 35.858154, 15.716553, 37.384033, 40.893555, 40.740967, 27.160645, 10.223389, 37.841797, 1.525879, 0.376404, 0.374646, -0.005618, 0.001001
1733.000000, 10.070801, 35.400391, 15.563965, 36.926270, 40.893555, 40.893555, 27.160645, 10.223389, 37.841797, 1.525879, 0.376404, 0.374822, 0.000000, 0.000901
1907.000000, 10.070801, 35.247803, 15.411377, 36.773682, 41.198730, 41.198730, 27.618408, 10.375977, 37.841797, 1.525879, 0.375691, 0.374901, 0.000714, 0.000884
2080.000000, 6.713867, 31.127930, 11.901855, 15.563965, 71.563721, 97.808838, 79.193115, 37.536621, 25.787354, 1.525879, 0.473988, 0.383158, -0.098298, -0.007381
2255.000000, 8.239746, 35.858154, 14.343262, 27.008057, 13.732910, 28.228760, 18.463135, 12.359619, 15.716553, 0.610352, 0.669421, 0.405178, -0.195433, -0.021847
2430.000000, 4.882813, 19.683838, 7.781982, 11.596680, 10.223389, 16.021729, 11.596680, 6.103516, 18.310547, 0.610352, 0.526316, 0.413831, 0.143106, -0.010064
2600.000000, 5.340576, 22.277832, 8.544922, 11.749268, 10.833740, 16.326904, 11.901855, 6.561279, 14.648438, 0.610352, 0.551282, 0.422994, -0.024966, -0.011058
2772.000000, 3.509521, 16.174316, 5.798340, 6.561279, 5.645752, 8.850098, 7.019043, 3.967285, 8.697510, 0.305176, 0.565217, 0.431883, -0.013935, -0.011238
2939.000000, 6.256104, 22.735596, 6.866455, 8.239746, 7.019043, 8.697510, 6.713867, 3.662109, 14.801025, 0.610352, 0.545455, 0.438564, 0.019763, -0.009414
3104.000000, 2.899170, 16.326904, 9.460449, 3.967285, 6.561279, 10.223389, 14.343262, 8.850098, 14.343262, 0.610352, 0.617021, 0.448478, -0.071567, -0.012867
3275.000000, 2.593994, 15.411377, 10.833740, 4.730225, 5.340576, 7.476807, 12.359619, 8.544922, 10.833740, 0.305176, 0.691358, 0.461262, -0.074337, -0.016102
3445.000000, 2.899170, 16.632080, 11.291504, 5.340576, 3.814697, 5.035400, 4.730225, 3.967285, 12.054443, 0.305176, 0.838710, 0.480134, -0.147352, -0.022665
3614.000000, 3.509521, 20.141602, 14.038086, 10.223389, 13.885498, 11.749268, 13.427734, 11.291504, 17.852783, 0.610352, 0.840909, 0.497314, -0.002199, -0.021690
3789.000000, 3.051758, 14.953613, 13.732910, 14.648438, 17.852783, 12.359619, 14.038086, 12.512207, 24.261475, 0.915527, 0.891304, 0.515222, -0.050395, -0.022995
3964.000000, 2.441406, 13.275146, 14.038086, 21.514893, 17.852783, 8.392334, 9.307861, 8.087158, 12.512207, 0.610352, 0.868852, 0.530598, 0.022452, -0.021019
4133.000000, 2.441406, 12.359619, 13.732910, 23.803711, 27.618408, 13.122559, 13.275146, 10.528564, 31.127930, 1.220703, 0.793103, 0.541535, 0.075749, -0.016987
4306.000000, 2.136230, 10.681152, 12.359619, 25.634766, 25.634766, 10.375977, 11.138916, 9.460449, 17.700195, 0.915527, 0.849315, 0.553846, -0.056212, -0.018556
4480.000000, 2.288818, 9.765625, 12.512207, 27.618408, 23.345947, 9.918213, 9.765625, 8.544922, 16.326904, 0.610352, 0.875000, 0.566199, -0.025685, -0.018830
4649.000000, 2.441406, 9.765625, 12.054443, 29.754639, 28.991699, 12.664795, 13.275146, 10.681152, 24.566650, 0.915527, 0.804598, 0.575028, 0.070402, -0.015525
4821.000000, 2.746582, 11.291504, 14.801025, 33.569336, 29.907227, 11.901855, 12.664795, 10.375977, 23.040771, 0.915527, 0.819277, 0.583751, -0.014679, -0.015495
4995.000000, 2.899170, 10.528564, 14.343262, 35.095215, 29.907227, 12.817383, 13.732910, 10.986328, 21.362305, 0.915527, 0.800000, 0.591208, 0.019277, -0.014296
5169.000000, 2.441406, 9.613037, 12.969971, 31.280518, 30.212402, 13.580322, 13.885498, 11.291504, 21.362305, 0.915527, 0.813187, 0.598607, -0.013187, -0.014259
5342.000000, 2.288818, 8.544922, 11.444092, 29.296875, 30.975342, 14.343262, 15.563965, 11.291504, 21.209717, 0.915527, 0.725490, 0.602700, 0.087697, -0.010970
