WaitFor Valve On
WaitiProgram Started
Time, v, b, c, g, gy, y, o, r, cl, nir,  Value, Average Value, Delta, Average Delta
183.000000, 9.155273, 27.618408, 14.801025, 29.754639, 41.351318, 29.907227, 21.057129, 11.138916, 35.400391, 1.525879, 0.528986, 0.528986, 0.000000, 0.000000
354.000000, 9.307861, 27.923584, 15.563965, 30.975342, 42.419434, 30.212402, 20.751953, 11.138916, 38.452148, 1.525879, 0.536765, 0.532875, -0.007779, -0.003890
527.000000, 9.460449, 28.076172, 15.716553, 31.433105, 43.792725, 32.653809, 23.040771, 11.749268, 34.942627, 1.220703, 0.509934, 0.525228, 0.026831, 0.006351
697.000000, 9.460449, 28.381348, 15.563965, 31.280518, 42.266846, 30.212402, 20.751953, 11.138916, 38.757324, 1.525879, 0.536765, 0.528112, -0.026831, -0.001945
869.000000, 10.070801, 29.602051, 16.479492, 33.264160, 43.640137, 32.196045, 22.583008, 11.749268, 35.400391, 1.220703, 0.520270, 0.526544, 0.016494, 0.001743
1042.000000, 9.307861, 27.923584, 15.411377, 30.822754, 41.809082, 29.907227, 20.751953, 11.138916, 37.994385, 1.525879, 0.536765, 0.528247, -0.016494, -0.001297
1215.000000, 9.765625, 29.144287, 16.174316, 32.653809, 42.724609, 31.433105, 21.972656, 11.596680, 35.705566, 1.525879, 0.527778, 0.528180, 0.008987, 0.000173
1387.000000, 9.613037, 28.381348, 15.563965, 31.585693, 42.114258, 30.822754, 21.209717, 11.291504, 36.468506, 1.220703, 0.532374, 0.528704, -0.004596, -0.000424
1558.000000, 9.765625, 28.839111, 16.021729, 32.348633, 41.961670, 30.670166, 21.209717, 11.291504, 36.163330, 1.525879, 0.532374, 0.529112, 0.000000, -0.000377
1732.000000, 9.460449, 28.076172, 15.716553, 31.280518, 41.961670, 30.670166, 21.362305, 11.291504, 36.010742, 1.220703, 0.528571, 0.529058, 0.003803, 0.000041
1904.000000, 9.613037, 28.533936, 15.716553, 31.585693, 57.525635, 58.135986, 33.416748, 24.108887, 27.923584, 1.220703, 0.721461, 0.546549, -0.192890, -0.017498
2079.000000, 12.817383, 81.024170, 18.615723, 28.533936, 32.196045, 29.907227, 22.277832, 12.359619, 35.858154, 1.525879, 0.554795, 0.547236, 0.166667, -0.002151
2253.000000, 5.340576, 20.599365, 8.850098, 13.732910, 36.468506, 30.975342, 25.024414, 11.596680, 42.114258, 1.525879, 0.463415, 0.540789, 0.091380, 0.005044
2425.000000, 6.866455, 24.719238, 9.613037, 10.833740, 19.989014, 19.836426, 15.563965, 8.544922, 34.637451, 1.220703, 0.549020, 0.541376, -0.085605, -0.001431
2598.000000, 3.509521, 14.190674, 4.425049, 4.577637, 4.730225, 7.171631, 5.645752, 3.204346, 7.781982, 0.305176, 0.567568, 0.543123, -0.018548, -0.002572
2764.000000, 2.746582, 11.138916, 3.204346, 2.746582, 5.950928, 8.850098, 6.713867, 3.814697, 11.749268, 0.305176, 0.568182, 0.544689, -0.000614, -0.002450
2931.000000, 1.831055, 7.476807, 2.288818, 1.831055, 2.746582, 3.356934, 3.051758, 1.831055, 5.645752, 0.000000, 0.600000, 0.547942, -0.031818, -0.004177
3097.000000, 1.983643, 10.986328, 5.187988, 2.441406, 2.746582, 4.425049, 4.882813, 3.662109, 7.476807, 0.305176, 0.750000, 0.559168, -0.150000, -0.012279
3264.000000, 1.678467, 8.239746, 3.662109, 1.678467, 2.441406, 4.119873, 6.256104, 5.493164, 9.765625, 0.305176, 0.878049, 0.575951, -0.128049, -0.018372
3429.000000, 1.983643, 10.681152, 4.119873, 1.373291, 1.678467, 3.204346, 5.035400, 5.645752, 8.392334, 0.305176, 1.121212, 0.603214, -0.243163, -0.029611
3596.000000, 1.678467, 10.070801, 4.882813, 1.983643, 2.593994, 2.899170, 5.187988, 5.798340, 7.171631, 0.305176, 1.117647, 0.627711, 0.003565, -0.028032
3762.000000, 1.525879, 7.934570, 6.256104, 5.340576, 4.425049, 3.051758, 4.730225, 6.103516, 9.002686, 0.305176, 1.290323, 0.657830, -0.172675, -0.034606
3929.000000, 1.220703, 6.103516, 6.713867, 9.002686, 6.408691, 2.899170, 4.119873, 5.340576, 7.781982, 0.305176, 1.296296, 0.685589, -0.005974, -0.033361
4095.000000, 1.373291, 6.408691, 6.256104, 11.444092, 8.697510, 3.204346, 4.272461, 5.645752, 10.375977, 0.305176, 1.321429, 0.712082, -0.025132, -0.033018
4263.000000, 1.373291, 5.340576, 7.934570, 17.242432, 12.512207, 3.509521, 5.035400, 6.256104, 11.291504, 0.305176, 1.242424, 0.733296, 0.079004, -0.028538
4432.000000, 1.678467, 5.340576, 9.155273, 21.514893, 13.427734, 3.509521, 5.035400, 6.408691, 12.207031, 0.610352, 1.272727, 0.754043, -0.030303, -0.028605
4601.000000, 1.373291, 4.272461, 7.324219, 22.125244, 14.495850, 3.509521, 5.340576, 6.256104, 13.275146, 0.610352, 1.171429, 0.769502, 0.101299, -0.023794
4768.000000, 1.220703, 3.509521, 6.561279, 22.277832, 15.716553, 4.119873, 5.645752, 6.866455, 14.038086, 0.610352, 1.216216, 0.785456, -0.044788, -0.024544
4936.000000, 1.373291, 3.662109, 7.171631, 23.803711, 15.716553, 4.119873, 6.256104, 7.019043, 14.190674, 0.610352, 1.121951, 0.797059, 0.094265, -0.020447
5104.000000, 1.525879, 3.662109, 7.476807, 24.108887, 20.751953, 7.324219, 9.460449, 10.375977, 24.414063, 0.915527, 1.096774, 0.807050, 0.025177, -0.018926
5273.000000, 1.373291, 3.051758, 5.340576, 18.615723, 13.427734, 4.272461, 5.950928, 6.866455, 10.833740, 0.305176, 1.153846, 0.818237, -0.057072, -0.020157
5443.000000, 1.220703, 3.204346, 6.103516, 19.531250, 15.106201, 5.035400, 6.866455, 8.392334, 10.681152, 0.610352, 1.222222, 0.830862, -0.068376, -0.021664
5612.000000, 1.220703, 3.051758, 5.645752, 19.989014, 16.021729, 4.882813, 7.781982, 8.392334, 11.291504, 0.610352, 1.078431, 0.838364, 0.143791, -0.016650
5780.000000, 1.373291, 2.746582, 5.340576, 19.378662, 17.089844, 5.645752, 8.239746, 8.697510, 12.207031, 0.610352, 1.055556, 0.844752, 0.022876, -0.015487
5949.000000, 1.373291, 2.899170, 5.187988, 21.972656, 17.242432, 5.645752, 9.460449, 9.765625, 12.817383, 0.610352, 1.032258, 0.850109, 0.023298, -0.014379
6117.000000, 1.373291, 2.746582, 5.493164, 21.514893, 18.615723, 6.561279, 10.528564, 10.528564, 13.427734, 0.610352, 1.000000, 0.854273, 0.032258, -0.013084
6286.000000, 1.373291, 2.593994, 5.493164, 20.599365, 19.531250, 7.476807, 11.596680, 11.291504, 17.242432, 0.915527, 0.973684, 0.857500, 0.026316, -0.012019
6456.000000, 1.373291, 2.288818, 4.119873, 13.885498, 14.648438, 6.408691, 11.749268, 11.138916, 13.275146, 0.610352, 0.948052, 0.859883, 0.025632, -0.011028
6627.000000, 1.525879, 2.593994, 5.187988, 18.920898, 18.615723, 7.629395, 12.359619, 11.596680, 15.563965, 0.915527, 0.938272, 0.861893, 0.009780, -0.010495
6797.000000, 1.525879, 2.899170, 5.340576, 19.683838, 19.378662, 8.392334, 12.817383, 12.207031, 15.106201, 0.915527, 0.952381, 0.864155, -0.014109, -0.010585
6968.000000, 1.678467, 2.441406, 5.035400, 18.157959, 20.141602, 8.850098, 13.427734, 12.512207, 15.106201, 0.915527, 0.931818, 0.865805, 0.020563, -0.009825
7139.000000, 1.678467, 2.593994, 5.035400, 18.615723, 20.904541, 8.850098, 14.190674, 12.969971, 17.242432, 0.915527, 0.913979, 0.866952, 0.017840, -0.009167
7308.000000, 1.678467, 2.593994, 5.035400, 18.920898, 20.599365, 9.155273, 14.801025, 13.122559, 16.632080, 0.915527, 0.886598, 0.867409, 0.027381, -0.008317
7478.000000, 1.678467, 2.441406, 4.882813, 18.005371, 20.904541, 9.613037, 15.563965, 13.427734, 17.700195, 0.915527, 0.862745, 0.867303, 0.023853, -0.007585
7648.000000, 1.678467, 2.593994, 5.035400, 18.615723, 20.904541, 9.918213, 16.021729, 13.885498, 18.310547, 0.915527, 0.866667, 0.867289, -0.003922, -0.007504
7820.000000, 1.831055, 2.593994, 4.730225, 18.920898, 22.125244, 10.375977, 16.632080, 13.885498, 17.242432, 0.915527, 0.834862, 0.866584, 0.031804, -0.006649
7990.000000, 1.831055, 2.593994, 4.730225, 18.920898, 22.430420, 11.291504, 18.005371, 14.648438, 17.852783, 0.915527, 0.813559, 0.865456, 0.021303, -0.006055
8161.000000, 1.831055, 2.593994, 4.730225, 18.463135, 23.040771, 11.444092, 19.073486, 15.716553, 19.683838, 1.220703, 0.824000, 0.864592, -0.010441, -0.006146
8333.000000, 1.983643, 2.899170, 5.187988, 18.157959, 20.446777, 10.986328, 18.310547, 14.495850, 13.427734, 0.915527, 0.791667, 0.863104, 0.032333, -0.005361
8503.000000, 1.831055, 2.441406, 4.425049, 17.242432, 20.904541, 11.901855, 19.073486, 15.411377, 16.174316, 0.915527, 0.808000, 0.862002, -0.016333, -0.005580
8675.000000, 1.983643, 2.593994, 4.730225, 17.395020, 21.057129, 12.664795, 20.294189, 16.174316, 18.615723, 1.220703, 0.796992, 0.860727, 0.011008, -0.005255
8847.000000, 1.831055, 2.441406, 4.425049, 16.632080, 23.498535, 12.817383, 21.362305, 15.563965, 17.700195, 1.220703, 0.728571, 0.858186, 0.068421, -0.003838
9018.000000, 1.983643, 2.593994, 4.730225, 17.242432, 23.345947, 13.427734, 21.820068, 16.937256, 19.989014, 1.220703, 0.776224, 0.856639, -0.047652, -0.004665
9190.000000, 1.983643, 2.593994, 4.577637, 17.242432, 23.956299, 14.038086, 22.277832, 16.784668, 19.073486, 1.220703, 0.753425, 0.854728, 0.022799, -0.004156
9362.000000, 2.136230, 2.441406, 4.577637, 17.242432, 24.261475, 15.106201, 23.803711, 17.547607, 20.294189, 1.220703, 0.737179, 0.852591, 0.016245, -0.003785
9533.000000, 2.136230, 2.746582, 4.730225, 18.463135, 26.550293, 16.021729, 25.634766, 18.463135, 20.141602, 1.220703, 0.720238, 0.850227, 0.016941, -0.003415
9704.000000, 2.136230, 2.593994, 4.730225, 16.784668, 25.939941, 15.411377, 26.550293, 18.157959, 20.446777, 1.220703, 0.683908, 0.847309, 0.036330, -0.002718
9876.000000, 2.288818, 2.593994, 4.577637, 16.479492, 27.008057, 15.563965, 27.160645, 18.463135, 20.599365, 1.220703, 0.679775, 0.844421, 0.004133, -0.002600
10047.000000, 2.288818, 2.593994, 4.577637, 16.784668, 25.024414, 16.632080, 26.550293, 18.920898, 19.531250, 1.220703, 0.712644, 0.842187, -0.032868, -0.003113
