Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
157.000000, 5.187988, 17.395020, 8.087158, 18.005371, 21.514893, 18.005371, 12.054443, 5.493164, 39.825439, 1.525879, 0.455696, 0.455696, 0.000000, 0.000000, 0.000000
337.000000, 5.493164, 19.683838, 9.155273, 20.141602, 22.735596, 19.073486, 12.664795, 5.950928, 38.909912, 1.525879, 0.469880, 0.462788, -0.014183, -0.007092, 0.000000
518.000000, 5.035400, 17.547607, 8.087158, 18.005371, 21.820068, 18.310547, 12.359619, 5.645752, 38.909912, 1.525879, 0.456790, 0.460789, 0.013089, -0.000365, 0.000000
699.000000, 5.187988, 18.005371, 8.239746, 18.463135, 21.362305, 17.852783, 12.054443, 5.493164, 38.909912, 1.220703, 0.455696, 0.459516, 0.001094, 0.000000, 0.000000
878.000000, 5.187988, 18.005371, 8.392334, 18.615723, 23.193359, 19.531250, 12.969971, 6.103516, 39.215088, 1.525879, 0.470588, 0.461730, -0.014892, -0.002978, 0.000000
1060.000000, 5.187988, 17.700195, 8.087158, 18.157959, 21.514893, 18.005371, 12.054443, 5.493164, 39.215088, 1.220703, 0.455696, 0.460724, 0.014892, 0.000000, 0.000000
1241.000000, 5.340576, 18.768311, 8.850098, 19.531250, 23.193359, 19.378662, 12.969971, 6.103516, 39.520264, 1.525879, 0.470588, 0.462133, -0.014892, -0.002127, 0.000000
1422.000000, 5.187988, 17.700195, 8.087158, 18.157959, 21.362305, 17.852783, 12.054443, 5.493164, 38.909912, 1.525879, 0.455696, 0.461329, 0.014892, 0.000000, 0.000000
1604.000000, 5.187988, 18.310547, 8.544922, 18.920898, 21.972656, 18.310547, 12.359619, 5.645752, 39.825439, 1.525879, 0.456790, 0.460825, -0.001094, -0.000122, 0.000000
1785.000000, 5.035400, 17.852783, 8.239746, 18.157959, 22.125244, 18.463135, 12.359619, 5.645752, 39.520264, 1.525879, 0.456790, 0.460421, 0.000000, -0.000109, 0.000000
1965.000000, 5.187988, 18.005371, 8.239746, 18.310547, 35.858154, 30.212402, 21.362305, 9.307861, 49.285889, 1.831055, 0.435714, 0.458175, 0.021076, 0.001817, 0.000000
2146.000000, 7.781982, 31.280518, 11.901855, 22.735596, 21.514893, 26.245117, 19.683838, 9.307861, 19.378662, 0.915527, 0.472868, 0.459399, -0.037154, -0.001431, 0.000000
2331.000000, 7.019043, 26.855469, 8.697510, 11.901855, 7.476807, 12.054443, 9.307861, 5.035400, 14.953613, 0.610352, 0.540984, 0.465675, -0.068115, -0.006561, 0.000000
2511.000000, 5.493164, 19.378662, 7.019043, 11.901855, 7.934570, 10.986328, 8.697510, 4.272461, 16.479492, 0.610352, 0.491228, 0.467500, 0.049756, -0.002538, 0.000000
2689.000000, 2.746582, 11.596680, 4.119873, 4.730225, 12.664795, 13.122559, 10.070801, 4.882813, 31.585693, 0.915527, 0.484848, 0.468657, 0.006380, -0.001943, 0.000000
2870.000000, 2.136230, 9.613037, 3.356934, 3.662109, 5.645752, 9.002686, 7.324219, 4.272461, 18.615723, 0.610352, 0.583333, 0.475824, -0.098485, -0.007977, 0.000000
3049.000000, 1.983643, 12.359619, 3.967285, 2.288818, 8.697510, 29.449463, 28.228760, 27.008057, 20.904541, 0.915527, 0.956757, 0.504114, -0.373423, -0.029474, 0.000000
3230.000000, 6.561279, 55.236816, 12.817383, 4.730225, 4.119873, 15.258789, 14.953613, 16.174316, 15.106201, 0.610352, 1.081633, 0.536199, -0.124876, -0.034774, 0.000000
3413.000000, 3.356934, 18.005371, 6.103516, 1.678467, 4.882813, 11.596680, 12.359619, 10.070801, 20.446777, 0.915527, 0.814815, 0.550863, 0.266818, -0.018901, 0.000000
3594.000000, 6.713867, 45.776367, 12.207031, 5.493164, 7.934570, 21.667480, 17.852783, 22.277832, 13.580322, 0.610352, 1.247863, 0.585713, -0.433048, -0.039608, 0.000000
3776.000000, 5.493164, 41.656494, 13.732910, 10.833740, 10.223389, 19.989014, 14.038086, 20.141602, 15.563965, 0.610352, 1.434783, 0.626145, -0.186919, -0.046623, 0.000000
3960.000000, 4.425049, 34.942627, 14.648438, 16.326904, 11.444092, 16.174316, 11.138916, 16.479492, 13.122559, 0.610352, 1.479452, 0.664931, -0.044669, -0.046534, 0.000000
4144.000000, 4.730225, 33.416748, 15.869141, 21.514893, 17.395020, 17.700195, 12.054443, 17.700195, 13.732910, 0.610352, 1.468354, 0.699863, 0.011098, -0.044029, 0.000000
4329.000000, 3.814697, 26.245117, 16.021729, 30.670166, 21.057129, 17.089844, 10.681152, 16.784668, 15.411377, 0.610352, 1.571429, 0.736178, -0.103074, -0.046489, 0.000000
4514.000000, 3.814697, 27.008057, 17.395020, 39.978027, 25.482178, 19.226074, 11.596680, 17.852783, 16.479492, 0.915527, 1.539474, 0.768310, 0.031955, -0.043351, 0.000000
4698.000000, 3.662109, 25.482178, 18.310547, 45.471191, 28.839111, 19.378662, 11.901855, 17.395020, 19.531250, 0.915527, 1.461538, 0.794972, 0.077935, -0.038686, 0.000000
4881.000000, 3.814697, 24.414063, 18.463135, 50.811768, 32.043457, 20.751953, 12.207031, 18.463135, 18.005371, 0.915527, 1.512500, 0.821548, -0.050962, -0.039141, 0.000000
5067.000000, 3.814697, 25.787354, 20.141602, 58.898926, 36.163330, 22.583008, 12.664795, 19.683838, 20.141602, 1.220703, 1.554217, 0.847714, -0.041717, -0.039233, 0.000000
5252.000000, 3.662109, 22.583008, 18.310547, 54.168701, 30.670166, 20.751953, 11.901855, 17.700195, 17.395020, 0.915527, 1.487180, 0.869765, 0.067037, -0.035568, 0.000000
5436.000000, 3.509521, 23.193359, 18.463135, 54.931641, 35.705566, 24.108887, 14.190674, 19.531250, 18.157959, 0.915527, 1.376344, 0.886651, 0.110835, -0.030688, 0.000000
5621.000000, 3.204346, 22.277832, 18.310547, 57.220459, 37.841797, 25.177002, 14.190674, 20.446777, 16.174316, 0.915527, 1.440860, 0.904529, -0.064516, -0.031779, 0.000000
5804.000000, 3.051758, 18.615723, 16.326904, 50.964355, 34.179688, 23.193359, 13.122559, 19.531250, 19.683838, 0.915527, 1.488372, 0.922774, -0.047512, -0.032271, 0.000000
5987.000000, 3.356934, 20.446777, 18.768311, 58.746338, 37.689209, 23.956299, 13.732910, 20.446777, 16.937256, 0.915527, 1.488889, 0.939929, -0.000517, -0.031309, 0.000000
6173.000000, 2.899170, 17.700195, 16.479492, 53.405762, 37.994385, 26.550293, 15.869141, 20.751953, 16.784668, 0.915527, 1.307692, 0.950745, 0.181197, -0.025059, 0.000000
6355.000000, 3.356934, 17.089844, 15.411377, 52.795410, 43.487549, 28.381348, 15.563965, 23.040771, 15.563965, 0.915527, 1.480392, 0.965878, -0.172700, -0.029277, 0.000000
6540.000000, 3.662109, 22.125244, 18.920898, 57.373047, 39.672852, 34.179688, 17.852783, 24.414063, 14.953613, 0.915527, 1.367521, 0.977035, 0.112871, -0.025328, 0.000000
6723.000000, 3.204346, 20.599365, 16.021729, 51.727295, 47.149658, 35.705566, 22.583008, 27.770996, 30.364990, 1.525879, 1.229730, 0.983864, 0.137792, -0.020920, 0.000000
6907.000000, 3.356934, 19.836426, 16.174316, 50.964355, 41.656494, 33.874512, 20.751953, 24.108887, 15.106201, 0.915527, 1.161765, 0.988546, 0.067965, -0.018581, 0.000000
7088.000000, 3.204346, 20.141602, 15.869141, 50.354004, 38.299561, 35.247803, 18.310547, 25.939941, 15.411377, 0.915527, 1.416667, 0.999524, -0.254902, -0.024640, 0.000000
7270.000000, 3.051758, 18.005371, 14.953613, 52.490234, 40.283203, 34.484863, 18.310547, 24.871826, 16.326904, 0.915527, 1.358333, 1.008494, 0.058333, -0.022566, 0.000000
7455.000000, 2.899170, 18.005371, 14.343262, 53.405762, 42.419434, 32.806396, 20.141602, 23.498535, 17.089844, 1.220703, 1.166667, 1.012352, 0.191667, -0.017341, 0.000000
7637.000000, 3.356934, 18.463135, 15.563965, 54.016113, 43.792725, 36.163330, 20.446777, 25.329590, 18.005371, 1.220703, 1.238806, 1.017743, -0.072139, -0.018645, 0.000000
7820.000000, 3.356934, 19.226074, 16.479492, 56.610107, 46.691895, 39.215088, 22.277832, 26.702881, 18.005371, 1.220703, 1.198630, 1.021950, 0.040176, -0.017278, 0.000000
