Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 14.64844, 55.38940, 20.14160, 59.81445, 61.95068, 51.42212, 36.62109, 15.25879, 59.35669, 2.44141
153.00000, 9.76563, 33.72192, 14.03809, 35.70557, 41.65649, 35.24780, 26.24512, 12.05444, 64.08691, 2.44141
268.00000, 10.98633, 44.55566, 16.32690, 42.41943, 61.79810, 54.32129, 37.07886, 16.93726, 59.50928, 2.13623
384.00000, 10.52856, 38.29956, 14.95361, 40.28320, 38.60474, 32.34863, 24.26147, 11.29150, 63.17139, 2.44141
500.00000, 12.35962, 46.84448, 17.24243, 49.59106, 55.54199, 45.31860, 33.56934, 14.34326, 58.44116, 2.44141
616.00000, 16.78467, 65.46021, 22.27783, 66.68091, 62.86621, 50.04883, 38.14697, 16.02173, 60.72998, 3.05176
732.00000, 9.61304, 34.79004, 13.73291, 36.31592, 45.01343, 37.23145, 27.92358, 12.81738, 62.10327, 2.44141
845.00000, 12.96997, 49.13330, 18.15796, 52.64282, 73.24219, 59.66187, 42.87720, 17.70020, 60.27222, 2.74658
961.00000, 13.12256, 49.13330, 18.31055, 53.40576, 50.81177, 41.50391, 31.43311, 14.03809, 61.18774, 2.74658
1077.00000, 10.83374, 40.28320, 15.25879, 42.26685, 50.20142, 40.89355, 30.97534, 13.73291, 60.27222, 2.74658
1195.00000, 12.96997, 48.67554, 18.15796, 52.49023, 59.35669, 47.60742, 35.85815, 15.10620, 60.11963, 2.74658
1311.00000, 11.44409, 42.57202, 16.02173, 45.31860, 48.82813, 39.67285, 30.05981, 13.42773, 60.42480, 2.44141
1428.00000, 11.74927, 44.40308, 16.63208, 47.45483, 57.06787, 45.77637, 34.79004, 14.80103, 60.27222, 2.74658
1545.00000, 12.81738, 47.91260, 17.85278, 51.87988, 56.15234, 45.31860, 34.33228, 14.64844, 60.42480, 2.74658
1663.00000, 11.44409, 42.41943, 16.17432, 45.16602, 50.04883, 40.74097, 30.82275, 13.73291, 60.72998, 2.74658
1779.00000, 12.05444, 45.31860, 16.93726, 48.52295, 59.81445, 47.76001, 36.31592, 15.41138, 60.42480, 2.74658
1896.00000, 16.78467, 100.86060, 29.29688, 60.11963, 82.55005, 95.82520, 87.73804, 37.23145, 108.18481, 5.18799
2015.00000, 8.85010, 36.01074, 12.05444, 22.12524, 87.89063, 98.72437, 70.03784, 32.65381, 285.64453, 9.15527
2133.00000, 15.86914, 52.33765, 17.70020, 29.44946, 90.33203, 74.15771, 68.35938, 30.97534, 162.65869, 6.71387
2250.00000, 8.85010, 31.89087, 12.05444, 11.59668, 24.26147, 46.69189, 41.04614, 20.44678, 93.68896, 3.35693
2366.00000, 9.30786, 37.84180, 11.29150, 15.86914, 37.23145, 72.02148, 59.35669, 27.61841, 148.01025, 5.18799
2483.00000, 30.97534, 102.08130, 20.29419, 16.78467, 27.00806, 51.26953, 47.30225, 23.80371, 121.76514, 4.27246
2602.00000, 7.01904, 41.96167, 7.32422, 4.11987, 6.56128, 18.46313, 19.37866, 15.56396, 34.48486, 1.22070
2715.00000, 6.10352, 30.97534, 5.18799, 2.44141, 3.50952, 16.17432, 17.85278, 16.93726, 21.82007, 0.91553
2828.00000, 21.05713, 78.73535, 9.15527, 3.20435, 5.64575, 22.88818, 28.38135, 26.09253, 37.07886, 1.52588
2941.00000, 10.52856, 45.31860, 6.25610, 1.83105, 4.88281, 20.14160, 24.26147, 24.71924, 43.02979, 2.13623
