,
Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 15.71655, 49.59106, 23.04077, 58.89893, 69.12231, 57.83081, 38.75732, 18.15796, 58.44116, 2.74658
155.00000, 15.56396, 49.43848, 23.04077, 58.89893, 72.63184, 60.72998, 40.43579, 18.92090, 58.44116, 3.05176
272.00000, 16.17432, 51.26953, 24.10889, 61.95068, 79.80347, 66.98608, 44.09790, 20.75195, 57.98340, 3.05176
388.00000, 14.95361, 48.67554, 22.12524, 56.15234, 61.49292, 50.81177, 34.79004, 15.86914, 59.35669, 2.74658
503.00000, 14.49585, 47.45483, 21.51489, 54.47388, 75.68359, 63.47656, 42.41943, 19.83643, 57.83081, 3.05176
619.00000, 18.15796, 56.76270, 26.55029, 68.96973, 83.00781, 69.58008, 45.47119, 21.51489, 58.59375, 3.05176
735.00000, 13.88550, 45.62378, 20.59937, 52.03247, 61.95068, 51.26953, 35.24780, 16.17432, 59.66187, 2.74658
851.00000, 14.64844, 47.45483, 21.51489, 54.32129, 75.53101, 63.47656, 42.26685, 19.83643, 57.83081, 3.05176
967.00000, 17.70020, 55.23682, 25.32959, 64.54468, 79.04053, 66.07056, 43.18237, 20.44678, 58.74634, 3.05176
1082.00000, 12.81738, 42.57202, 19.07349, 47.60742, 61.49292, 50.65918, 34.94263, 15.86914, 59.81445, 2.74658
1199.00000, 17.08984, 53.40576, 25.48218, 65.91797, 81.63452, 68.96973, 44.25049, 21.05713, 57.83081, 2.74658
1315.00000, 16.47949, 52.03247, 24.56665, 63.01880, 66.52832, 55.54199, 37.23145, 17.39502, 58.59375, 2.74658
1432.00000, 14.49585, 46.99707, 21.36230, 54.01611, 69.58008, 58.28857, 38.90991, 18.15796, 58.28857, 2.74658
1550.00000, 14.95361, 48.06519, 22.27783, 56.91528, 73.24219, 61.49292, 40.74097, 19.07349, 58.44116, 3.05176
1667.00000, 15.56396, 49.28589, 23.04077, 59.05151, 75.68359, 63.62915, 42.41943, 19.83643, 58.13599, 3.05176
1783.00000, 15.25879, 48.52295, 22.43042, 56.91528, 68.05420, 56.91528, 37.99438, 17.70020, 58.59375, 2.74658
