Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 15.10620, 52.49023, 22.88818, 60.57739, 69.12231, 58.59375, 43.94531, 19.07349, 52.49023, 2.74658
155.00000, 12.66479, 43.02979, 18.31055, 47.91260, 58.44116, 49.13330, 37.38403, 15.86914, 54.32129, 2.74658
269.00000, 12.81738, 44.09790, 18.76831, 48.21777, 58.89893, 48.98071, 37.68921, 16.02173, 51.87988, 2.44141
386.00000, 15.56396, 53.25317, 23.34595, 60.57739, 64.84985, 55.08423, 41.50391, 18.00537, 53.55835, 2.74658
500.00000, 11.90186, 40.89355, 17.08984, 43.48755, 50.35400, 42.11426, 32.04346, 13.58032, 53.71094, 2.44141
616.00000, 15.41138, 53.25317, 23.34595, 62.10327, 67.59644, 57.22046, 43.18237, 18.61572, 53.40576, 2.74658
732.00000, 16.32690, 56.45752, 24.71924, 65.76538, 65.46021, 55.23682, 42.26685, 17.85278, 53.86353, 3.05176
848.00000, 12.66479, 43.79272, 18.46313, 47.30225, 59.35669, 49.89624, 38.14697, 16.02173, 53.40576, 2.74658
963.00000, 15.56396, 53.71094, 23.49854, 62.86621, 70.34302, 59.50928, 44.86084, 19.22607, 53.71094, 2.74658
1079.00000, 14.03809, 48.21777, 20.90454, 55.08423, 60.72998, 50.96436, 38.90991, 16.47949, 53.86353, 2.74658
1197.00000, 12.96997, 44.70825, 19.22607, 49.74365, 61.95068, 52.18506, 39.97803, 16.78467, 53.40576, 2.74658
1314.00000, 14.34326, 49.28589, 21.51489, 57.06787, 66.07056, 55.99976, 42.41943, 18.15796, 53.25317, 2.74658
1430.00000, 13.88550, 47.76001, 20.75195, 54.32129, 61.49292, 51.87988, 39.52026, 16.78467, 53.55835, 2.74658
1547.00000, 14.34326, 49.13330, 21.36230, 56.45752, 65.91797, 55.38940, 42.26685, 18.00537, 53.40576, 2.74658
1665.00000, 13.42773, 46.53931, 19.98901, 52.18506, 58.74634, 49.43848, 37.84180, 16.02173, 53.71094, 2.74658
1782.00000, 35.85815, 151.06201, 52.49023, 130.46265, 54.01611, 50.50659, 36.01074, 16.47949, 84.07593, 3.05176
1899.00000, 16.17432, 85.29663, 28.07617, 63.62915, 84.53369, 81.93970, 64.54468, 26.24512, 123.13843, 5.49316
2017.00000, 14.03809, 49.89624, 18.76831, 39.97803, 121.45996, 148.77319, 115.05127, 50.81177, 192.71851, 8.23975
