Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 18.61572, 62.86621, 27.31323, 72.78442, 89.11133, 79.34570, 59.96704, 25.02441, 55.08423, 2.13623
156.00000, 15.71655, 58.13599, 21.97266, 59.05151, 63.78174, 59.50928, 43.18237, 18.92090, 56.91528, 2.74658
272.00000, 17.70020, 60.72998, 25.78735, 69.12231, 71.71631, 68.96973, 49.13330, 23.49854, 50.65918, 1.83105
387.00000, 16.47949, 64.08691, 25.93994, 69.12231, 98.26660, 83.77075, 61.49292, 25.32959, 53.40576, 2.44141
502.00000, 13.88550, 50.65918, 19.22607, 50.96436, 77.20947, 68.35938, 50.04883, 21.97266, 54.16870, 2.74658
616.00000, 15.10620, 55.38940, 23.04077, 61.03516, 73.08960, 70.19043, 51.87988, 23.65112, 52.79541, 2.13623
732.00000, 19.83643, 67.44385, 28.38135, 76.59912, 79.95605, 69.27490, 50.20142, 21.66748, 53.71094, 2.44141
848.00000, 19.22607, 68.51196, 27.31323, 74.00513, 86.36475, 74.46289, 54.01611, 22.73560, 51.87988, 2.13623
964.00000, 17.39502, 60.42480, 26.09253, 69.12231, 84.68628, 74.46289, 55.99976, 23.34595, 52.18506, 2.13623
1080.00000, 19.22607, 66.98608, 27.16064, 73.24219, 81.02417, 69.73267, 50.20142, 21.51489, 52.94800, 2.44141
1197.00000, 18.92090, 64.69727, 27.46582, 73.69995, 81.02417, 70.19043, 52.33765, 21.82007, 51.87988, 2.13623
1314.00000, 18.76831, 63.47656, 27.31323, 73.08960, 88.95874, 77.05688, 55.84717, 23.49854, 52.64282, 2.44141
1430.00000, 18.92090, 65.76538, 27.16064, 73.24219, 84.38110, 72.47925, 52.64282, 22.12524, 52.33765, 2.44141
1547.00000, 18.92090, 64.39209, 27.61841, 74.00513, 82.24487, 71.25854, 53.10059, 21.97266, 52.03247, 2.13623
1663.00000, 19.83643, 67.44385, 28.53394, 77.05688, 88.80615, 76.44653, 55.23682, 23.34595, 52.64282, 2.44141
1777.00000, 19.07349, 65.46021, 27.46582, 74.15771, 85.14404, 74.00513, 53.86353, 22.58301, 52.03247, 2.13623
1896.00000, 68.05420, 206.29883, 60.11963, 119.17114, 53.10059, 67.74902, 52.33765, 23.04077, 112.60986, 4.27246
2015.00000, 11.29150, 43.94531, 13.88550, 26.85547, 330.65796, 358.58154, 310.51636, 130.00488, 396.72852, 38.29956
2139.00000, 9.00269, 39.52026, 10.98633, 14.80103, 38.45215, 46.84448, 37.84180, 18.00537, 91.70532, 3.05176
2253.00000, 16.78467, 72.47925, 17.54761, 17.70020, 23.19336, 41.50391, 34.33228, 17.39502, 86.97510, 3.05176
2371.00000, 9.46045, 44.25049, 13.27515, 13.42773, 18.92090, 28.07617, 24.10889, 15.25879, 50.20142, 1.52588
2487.00000, 5.79834, 29.44946, 7.47681, 6.40869, 23.49854, 34.33228, 27.00806, 19.98901, 74.76807, 2.13623
2600.00000, 12.20703, 40.74097, 9.91821, 10.07080, 5.34058, 12.05444, 11.90186, 10.22339, 16.17432, 0.61035
2715.00000, 6.40869, 43.33496, 9.15527, 6.25610, 9.00269, 17.08984, 15.41138, 14.03809, 26.24512, 0.91553
2828.00000, 9.30786, 49.89624, 9.30786, 5.18799, 12.20703, 26.85547, 24.71924, 22.27783, 42.41943, 1.83105
2942.00000, 21.20972, 87.89063, 13.88550, 6.40869, 10.52856, 28.07617, 29.14429, 25.78735, 43.79272, 1.83105
3056.00000, 20.75195, 93.07861, 16.02173, 7.32422, 27.31323, 72.63184, 78.12500, 72.78442, 214.69116, 8.54492
3174.00000, 8.39233, 41.65649, 8.39233, 3.50952, 7.78198, 21.51489, 24.71924, 27.16064, 58.89893, 2.74658
3284.00000, 30.51758, 110.32104, 18.00537, 7.93457, 14.34326, 35.70557, 42.11426, 46.08154, 112.91504, 4.57764
3403.00000, 5.18799, 27.46582, 6.10352, 2.28882, 8.23975, 21.82007, 26.70288, 31.12793, 67.29126, 3.35693
3516.00000, 23.65112, 84.53369, 15.56396, 6.71387, 13.42773, 34.48486, 43.94531, 52.33765, 116.42456, 5.18799
3632.00000, 16.78467, 63.78174, 15.25879, 7.62939, 14.34326, 27.31323, 34.94263, 46.08154, 94.14673, 4.27246
3748.00000, 13.27515, 52.79541, 18.15796, 11.74927, 14.34326, 22.58301, 28.38135, 43.64014, 84.22852, 4.27246
3864.00000, 8.69751, 38.14697, 20.14160, 18.61572, 13.42773, 14.95361, 18.92090, 30.97534, 50.96436, 3.05176
3979.00000, 8.23975, 36.46851, 25.63477, 30.36499, 24.56665, 19.07349, 25.48218, 40.58838, 102.08130, 5.18799
4095.00000, 6.71387, 28.83911, 30.05981, 47.60742, 26.70288, 16.63208, 21.82007, 38.90991, 95.82520, 4.88281
4211.00000, 6.86646, 28.99170, 36.31592, 68.96973, 33.26416, 17.54761, 23.65112, 39.82544, 108.79517, 5.49316
4328.00000, 6.25610, 25.02441, 38.75732, 84.83887, 41.96167, 19.22607, 25.63477, 42.26685, 130.00488, 6.40869
4445.00000, 6.71387, 25.02441, 44.70825, 109.25293, 51.72729, 21.97266, 28.07617, 44.55566, 143.73779, 7.01904
4563.00000, 6.10352, 21.36230, 41.04614, 105.43823, 48.67554, 19.83643, 26.39771, 43.64014, 138.24463, 6.71387
4681.00000, 6.10352, 19.53125, 42.26685, 118.10303, 52.64282, 20.90454, 27.31323, 44.40308, 149.68872, 7.32422
4799.00000, 6.10352, 19.07349, 43.18237, 129.08936, 52.64282, 20.29419, 27.31323, 45.92896, 143.28003, 7.01904
4918.00000, 4.73022, 13.88550, 35.55298, 107.42188, 47.60742, 18.61572, 25.02441, 45.31860, 126.95313, 6.10352
5035.00000, 4.73022, 13.73291, 36.62109, 115.05127, 49.43848, 18.31055, 25.78735, 44.70825, 128.93677, 6.71387
5153.00000, 4.88281, 13.42773, 36.46851, 119.01855, 50.04883, 19.37866, 27.31323, 45.47119, 135.95581, 6.71387
5271.00000, 5.03540, 13.42773, 37.84180, 122.22290, 56.76270, 21.82007, 30.97534, 49.74365, 143.12744, 7.32422
5390.00000, 4.73022, 12.66479, 34.63745, 114.13574, 53.86353, 22.12524, 30.51758, 48.82813, 139.77051, 7.62939
5506.00000, 5.18799, 13.27515, 35.85815, 122.07031, 61.03516, 25.48218, 34.79004, 52.79541, 142.97485, 7.62939
5624.00000, 4.88281, 12.05444, 34.02710, 117.18750, 57.67822, 24.87183, 34.79004, 51.42212, 141.29639, 7.32422
