Time, Value
0.00000, 63.00000
0.00000, 239.00000
1.00000, 157.00000
7.00000, 158.00000
27.00000, 161.00000
50.00000, 161.00000
72.00000, 163.00000
93.00000, 164.00000
116.00000, 163.00000
138.00000, 164.00000
161.00000, 164.00000
184.00000, 163.00000
207.00000, 164.00000
229.00000, 164.00000
253.00000, 164.00000
275.00000, 164.00000
298.00000, 164.00000
321.00000, 164.00000
344.00000, 163.00000
367.00000, 164.00000
390.00000, 164.00000
413.00000, 163.00000
436.00000, 163.00000
459.00000, 163.00000
481.00000, 164.00000
505.00000, 164.00000
527.00000, 163.00000
550.00000, 163.00000
573.00000, 162.00000
596.00000, 162.00000
618.00000, 163.00000
642.00000, 162.00000
664.00000, 162.00000
687.00000, 162.00000
710.00000, 163.00000
733.00000, 162.00000
756.00000, 162.00000
779.00000, 162.00000
802.00000, 162.00000
824.00000, 163.00000
848.00000, 163.00000
870.00000, 161.00000
893.00000, 162.00000
916.00000, 162.00000
939.00000, 162.00000
961.00000, 162.00000
985.00000, 161.00000
1007.00000, 162.00000
1032.00000, 162.00000
1056.00000, 162.00000
1079.00000, 161.00000
1104.00000, 162.00000
1127.00000, 162.00000
1151.00000, 161.00000
1175.00000, 161.00000
1199.00000, 162.00000
1222.00000, 161.00000
1247.00000, 162.00000
1271.00000, 161.00000
1294.00000, 161.00000
1319.00000, 161.00000
1342.00000, 161.00000
1367.00000, 161.00000
1390.00000, 161.00000
1414.00000, 161.00000
1439.00000, 161.00000
1462.00000, 161.00000
1486.00000, 162.00000
1510.00000, 161.00000
1534.00000, 161.00000
1557.00000, 160.00000
1582.00000, 161.00000
1605.00000, 161.00000
1629.00000, 161.00000
1654.00000, 161.00000
1677.00000, 161.00000
1702.00000, 161.00000
1725.00000, 161.00000
1749.00000, 161.00000
1773.00000, 161.00000
1797.00000, 160.00000
1821.00000, 161.00000
1845.00000, 161.00000
1869.00000, 160.00000
1892.00000, 161.00000
1917.00000, 161.00000
1940.00000, 160.00000
1965.00000, 161.00000
1988.00000, 160.00000
2012.00000, 160.00000
2037.00000, 160.00000
2060.00000, 160.00000
2084.00000, 160.00000
2108.00000, 160.00000
2132.00000, 161.00000
2155.00000, 160.00000
2180.00000, 160.00000
2203.00000, 160.00000
2227.00000, 160.00000
2252.00000, 160.00000
2275.00000, 160.00000
2300.00000, 160.00000
2323.00000, 159.00000
2347.00000, 160.00000
2371.00000, 160.00000
2395.00000, 160.00000
2419.00000, 159.00000
2443.00000, 160.00000
2467.00000, 160.00000
2490.00000, 160.00000
2515.00000, 159.00000
2538.00000, 159.00000
2562.00000, 160.00000
2586.00000, 160.00000
2610.00000, 159.00000
2635.00000, 159.00000
2658.00000, 160.00000
2682.00000, 159.00000
2706.00000, 159.00000
2730.00000, 159.00000
2753.00000, 160.00000
2778.00000, 159.00000
2801.00000, 159.00000
2825.00000, 159.00000
2850.00000, 159.00000
2873.00000, 159.00000
2898.00000, 159.00000
2921.00000, 160.00000
2945.00000, 159.00000
2969.00000, 160.00000
2993.00000, 158.00000
3017.00000, 159.00000
3041.00000, 159.00000
3065.00000, 160.00000
3088.00000, 159.00000
3113.00000, 159.00000
3136.00000, 158.00000
3161.00000, 159.00000
3184.00000, 159.00000
3208.00000, 160.00000
3233.00000, 159.00000
3256.00000, 160.00000
3280.00000, 159.00000
3304.00000, 159.00000
3328.00000, 159.00000
3351.00000, 159.00000
3376.00000, 158.00000
3400.00000, 160.00000
3423.00000, 159.00000
3448.00000, 159.00000
3471.00000, 159.00000
3495.00000, 159.00000
3519.00000, 158.00000
3543.00000, 159.00000
3567.00000, 159.00000
3591.00000, 159.00000
3615.00000, 160.00000
3639.00000, 159.00000
3663.00000, 160.00000
3686.00000, 159.00000
3711.00000, 159.00000
3734.00000, 159.00000
3758.00000, 159.00000
3782.00000, 159.00000
3806.00000, 159.00000
3831.00000, 159.00000
3854.00000, 159.00000
3878.00000, 159.00000
3902.00000, 158.00000
3926.00000, 159.00000
3949.00000, 158.00000
3974.00000, 159.00000
3998.00000, 158.00000
4021.00000, 159.00000
4046.00000, 158.00000
4069.00000, 159.00000
4094.00000, 159.00000
4117.00000, 159.00000
4141.00000, 159.00000
4165.00000, 160.00000
4189.00000, 158.00000
4213.00000, 158.00000
4237.00000, 158.00000
4261.00000, 158.00000
4284.00000, 158.00000
4309.00000, 158.00000
4332.00000, 159.00000
4357.00000, 159.00000
4381.00000, 158.00000
4404.00000, 159.00000
4429.00000, 159.00000
4452.00000, 158.00000
4476.00000, 159.00000
4500.00000, 158.00000
4524.00000, 158.00000
4547.00000, 159.00000
4572.00000, 158.00000
4596.00000, 160.00000
4619.00000, 158.00000
4644.00000, 159.00000
4667.00000, 159.00000
4691.00000, 158.00000
4715.00000, 158.00000
4739.00000, 159.00000
4763.00000, 158.00000
4787.00000, 159.00000
4811.00000, 159.00000
4835.00000, 158.00000
4859.00000, 159.00000
4882.00000, 158.00000
4907.00000, 158.00000
4930.00000, 158.00000
4954.00000, 159.00000
4979.00000, 159.00000
5002.00000, 159.00000
5027.00000, 158.00000
5050.00000, 159.00000
5074.00000, 160.00000
5098.00000, 159.00000
5122.00000, 159.00000
5145.00000, 159.00000
5170.00000, 158.00000
5194.00000, 159.00000
5217.00000, 159.00000
5242.00000, 159.00000
5265.00000, 158.00000
5289.00000, 158.00000
5313.00000, 159.00000
5337.00000, 158.00000
5361.00000, 158.00000
5385.00000, 158.00000
5409.00000, 158.00000
5433.00000, 158.00000
5457.00000, 159.00000
5480.00000, 159.00000
5505.00000, 159.00000
5528.00000, 159.00000
5552.00000, 158.00000
5577.00000, 159.00000
5600.00000, 159.00000
5624.00000, 158.00000
5648.00000, 159.00000
5672.00000, 158.00000
5696.00000, 158.00000
5720.00000, 158.00000
5743.00000, 159.00000
5768.00000, 159.00000
5792.00000, 159.00000
5815.00000, 158.00000
5840.00000, 159.00000
5863.00000, 160.00000
5887.00000, 158.00000
5911.00000, 158.00000
5935.00000, 158.00000
5960.00000, 158.00000
5983.00000, 159.00000
6007.00000, 158.00000
6031.00000, 159.00000
6055.00000, 158.00000
6078.00000, 159.00000
6103.00000, 158.00000
6126.00000, 159.00000
6150.00000, 158.00000
6175.00000, 159.00000
6198.00000, 158.00000
6223.00000, 159.00000
6246.00000, 159.00000
6270.00000, 159.00000
6294.00000, 158.00000
6318.00000, 158.00000
6341.00000, 159.00000
6366.00000, 159.00000
