Time, Value
0.00000, 1007.00000
22.00000, 1007.00000
45.00000, 1007.00000
68.00000, 1007.00000
91.00000, 1007.00000
113.00000, 1006.00000
138.00000, 1008.00000
162.00000, 1007.00000
185.00000, 1006.00000
210.00000, 1006.00000
233.00000, 1006.00000
257.00000, 1007.00000
281.00000, 1007.00000
305.00000, 1007.00000
328.00000, 1006.00000
353.00000, 1006.00000
377.00000, 1006.00000
401.00000, 1007.00000
425.00000, 1007.00000
448.00000, 1007.00000
473.00000, 1006.00000
496.00000, 1006.00000
520.00000, 1006.00000
545.00000, 1007.00000
568.00000, 1007.00000
592.00000, 1006.00000
616.00000, 1006.00000
640.00000, 1006.00000
664.00000, 1007.00000
688.00000, 1007.00000
711.00000, 1006.00000
736.00000, 1006.00000
760.00000, 1006.00000
783.00000, 1006.00000
808.00000, 1007.00000
831.00000, 1007.00000
855.00000, 1006.00000
879.00000, 1006.00000
903.00000, 1006.00000
927.00000, 1007.00000
951.00000, 1007.00000
975.00000, 1007.00000
999.00000, 1007.00000
1023.00000, 1007.00000
1047.00000, 1007.00000
1073.00000, 1007.00000
1098.00000, 1007.00000
1122.00000, 1007.00000
1148.00000, 1007.00000
1172.00000, 1007.00000
1198.00000, 1007.00000
1222.00000, 1007.00000
1247.00000, 1007.00000
1273.00000, 1007.00000
1297.00000, 1007.00000
1322.00000, 1007.00000
1347.00000, 1007.00000
1372.00000, 1007.00000
1398.00000, 1007.00000
1422.00000, 1007.00000
1447.00000, 1007.00000
1472.00000, 1007.00000
1497.00000, 1007.00000
1521.00000, 1007.00000
1547.00000, 1007.00000
1572.00000, 1007.00000
1597.00000, 1007.00000
1622.00000, 1007.00000
1646.00000, 1007.00000
1672.00000, 1007.00000
1697.00000, 1007.00000
1721.00000, 1007.00000
1747.00000, 1007.00000
1771.00000, 1007.00000
1797.00000, 1007.00000
1821.00000, 1007.00000
1846.00000, 1007.00000
1872.00000, 1007.00000
1896.00000, 1007.00000
1921.00000, 1007.00000
1946.00000, 1007.00000
1971.00000, 1007.00000
1997.00000, 1007.00000
2021.00000, 1007.00000
2046.00000, 993.00000
2070.00000, 1002.00000
2095.00000, 1005.00000
2119.00000, 1005.00000
2145.00000, 997.00000
2169.00000, 1004.00000
2194.00000, 1004.00000
2219.00000, 1006.00000
2243.00000, 1005.00000
2269.00000, 1003.00000
2294.00000, 995.00000
2317.00000, 1000.00000
2343.00000, 995.00000
2366.00000, 991.00000
2390.00000, 993.00000
2414.00000, 1000.00000
2439.00000, 993.00000
2464.00000, 1001.00000
2488.00000, 992.00000
2512.00000, 991.00000
2536.00000, 998.00000
2560.00000, 1004.00000
2584.00000, 999.00000
2609.00000, 994.00000
2632.00000, 995.00000
2656.00000, 993.00000
2681.00000, 994.00000
2704.00000, 995.00000
2729.00000, 1002.00000
2753.00000, 997.00000
2777.00000, 1004.00000
2802.00000, 999.00000
2826.00000, 1004.00000
2851.00000, 1004.00000
2876.00000, 997.00000
2900.00000, 999.00000
2923.00000, 995.00000
2948.00000, 1005.00000
2972.00000, 1002.00000
2998.00000, 999.00000
3022.00000, 993.00000
3045.00000, 1004.00000
3071.00000, 1005.00000
3095.00000, 1003.00000
3120.00000, 998.00000
3144.00000, 1001.00000
3169.00000, 999.00000
3194.00000, 1002.00000
3218.00000, 1004.00000
3243.00000, 997.00000
3267.00000, 1004.00000
3292.00000, 994.00000
3316.00000, 991.00000
3340.00000, 995.00000
3364.00000, 1003.00000
3388.00000, 1003.00000
3414.00000, 1005.00000
3438.00000, 1005.00000
3464.00000, 1005.00000
3489.00000, 1005.00000
3513.00000, 1005.00000
3539.00000, 1005.00000
3563.00000, 1005.00000
3588.00000, 1005.00000
3613.00000, 1005.00000
3638.00000, 1005.00000
3664.00000, 1005.00000
3688.00000, 1005.00000
3713.00000, 1005.00000
3738.00000, 1005.00000
3763.00000, 1005.00000
3788.00000, 1005.00000
3813.00000, 1005.00000
3838.00000, 1005.00000
3863.00000, 1005.00000
3888.00000, 1005.00000
3912.00000, 1005.00000
3938.00000, 1005.00000
3963.00000, 1005.00000
3987.00000, 1005.00000
4013.00000, 1005.00000
4037.00000, 1005.00000
4063.00000, 1005.00000
4088.00000, 1005.00000
4112.00000, 1005.00000
4138.00000, 1005.00000
4162.00000, 1005.00000
4187.00000, 1005.00000
4213.00000, 1005.00000
4237.00000, 1005.00000
4263.00000, 1005.00000
4287.00000, 1005.00000
4312.00000, 1005.00000
4337.00000, 1005.00000
4362.00000, 1005.00000
4387.00000, 1005.00000
4412.00000, 1005.00000
4437.00000, 1005.00000
4462.00000, 1005.00000
4487.00000, 1005.00000
4512.00000, 1005.00000
4537.00000, 1005.00000
4562.00000, 1005.00000
4586.00000, 1005.00000
4612.00000, 1005.00000
4636.00000, 1005.00000
4662.00000, 1005.00000
4687.00000, 1005.00000
4711.00000, 1005.00000
4737.00000, 1005.00000
4761.00000, 1005.00000
4786.00000, 1005.00000
4812.00000, 1005.00000
4836.00000, 1005.00000
4862.00000, 1005.00000
4886.00000, 1005.00000
4911.00000, 1005.00000
4936.00000, 1005.00000
4961.00000, 1005.00000
4986.00000, 1005.00000
5011.00000, 1005.00000
5036.00000, 1005.00000
5061.00000, 1005.00000
5086.00000, 1005.00000
5111.00000, 1005.00000
5136.00000, 1005.00000
5161.00000, 1005.00000
5185.00000, 1005.00000
5211.00000, 1005.00000
5236.00000, 1005.00000
5261.00000, 1005.00000
5286.00000, 1005.00000
5310.00000, 1005.00000
5336.00000, 1005.00000
5360.00000, 1005.00000
5385.00000, 1005.00000
5411.00000, 1005.00000
5435.00000, 1005.00000
5461.00000, 1005.00000
5485.00000, 1005.00000
5510.00000, 1005.00000
5536.00000, 1005.00000
5560.00000, 1005.00000
5585.00000, 1005.00000
5610.00000, 1005.00000
5635.00000, 1005.00000
5660.00000, 1005.00000
5685.00000, 1005.00000
5710.00000, 1005.00000
5735.00000, 1005.00000
5760.00000, 1005.00000
5784.00000, 1005.00000
5810.00000, 1005.00000
5835.00000, 1005.00000
5860.00000, 1005.00000
5885.00000, 1005.00000
5909.00000, 1005.00000
5935.00000, 1005.00000
5959.00000, 1005.00000
5984.00000, 1005.00000
6010.00000, 1005.00000
6034.00000, 1005.00000
6060.00000, 1005.00000
6084.00000, 1005.00000
6109.00000, 1005.00000
6135.00000, 1005.00000
6159.00000, 1005.00000
6184.00000, 1005.00000
6209.00000, 1005.00000
6234.00000, 1005.00000
6260.00000, 1005.00000
6284.00000, 1005.00000
6309.00000, 1005.00000
6334.00000, 1005.00000
6359.00000, 1005.00000
6383.00000, 1005.00000
6409.00000, 1005.00000
6434.00000, 1005.00000
6459.00000, 1005.00000
6484.00000, 1005.00000
6508.00000, 1005.00000
6534.00000, 1005.00000
6559.00000, 1005.00000
6583.00000, 1005.00000
6609.00000, 1005.00000
6633.00000, 1005.00000
6659.00000, 1005.00000
6683.00000, 1005.00000
6708.00000, 1005.00000
6734.00000, 1005.00000
6758.00000, 1005.00000
6783.00000, 1005.00000
6808.00000, 1005.00000
6833.00000, 1005.00000
6859.00000, 1005.00000
6883.00000, 1005.00000
6908.00000, 1005.00000
6933.00000, 1005.00000
6958.00000, 1005.00000
6982.00000, 1005.00000
7008.00000, 1005.00000
7033.00000, 1005.00000
7058.00000, 1005.00000
7083.00000, 1005.00000
7107.00000, 1005.00000
7133.00000, 1005.00000
7158.00000, 1005.00000
7182.00000, 1005.00000
7208.00000, 1005.00000
7232.00000, 1005.00000
7258.00000, 1005.00000
7282.00000, 1005.00000
7307.00000, 1005.00000
7333.00000, 1005.00000
7357.00000, 1005.00000
7382.00000, 1005.00000
7407.00000, 1005.00000
7432.00000, 1005.00000
7458.00000, 1005.00000
7482.00000, 1005.00000
