Time, Value
0.00000, 1023.00000
0.00000, 1009.00000
1.00000, 1010.00000
11.00000, 1010.00000
33.00000, 1010.00000
57.00000, 1009.00000
80.00000, 1009.00000
103.00000, 1010.00000
127.00000, 1009.00000
150.00000, 1009.00000
175.00000, 1009.00000
198.00000, 1010.00000
222.00000, 1009.00000
246.00000, 1009.00000
270.00000, 1009.00000
294.00000, 1009.00000
318.00000, 1009.00000
342.00000, 1010.00000
365.00000, 1009.00000
390.00000, 1010.00000
413.00000, 1009.00000
438.00000, 1009.00000
461.00000, 1009.00000
485.00000, 1010.00000
510.00000, 1009.00000
533.00000, 1009.00000
557.00000, 1009.00000
581.00000, 1009.00000
605.00000, 1009.00000
628.00000, 1009.00000
653.00000, 1009.00000
677.00000, 1010.00000
701.00000, 1009.00000
725.00000, 1009.00000
748.00000, 1009.00000
773.00000, 1010.00000
796.00000, 1009.00000
820.00000, 1010.00000
844.00000, 1009.00000
868.00000, 1009.00000
892.00000, 1009.00000
916.00000, 1010.00000
940.00000, 1009.00000
963.00000, 1009.00000
988.00000, 1010.00000
1011.00000, 1009.00000
1037.00000, 1009.00000
1062.00000, 1009.00000
1086.00000, 1009.00000
1112.00000, 1009.00000
1136.00000, 1010.00000
1161.00000, 1010.00000
1186.00000, 1010.00000
1211.00000, 1009.00000
1237.00000, 1010.00000
1261.00000, 1009.00000
1286.00000, 1009.00000
1311.00000, 1009.00000
1336.00000, 1009.00000
1361.00000, 1009.00000
1386.00000, 1009.00000
1411.00000, 1009.00000
1436.00000, 1009.00000
1461.00000, 1009.00000
1485.00000, 1010.00000
1511.00000, 1009.00000
1536.00000, 1010.00000
1560.00000, 1009.00000
1586.00000, 1009.00000
1610.00000, 1010.00000
1636.00000, 1009.00000
1661.00000, 1009.00000
1685.00000, 1009.00000
1711.00000, 1010.00000
1735.00000, 1010.00000
1760.00000, 1010.00000
1786.00000, 1009.00000
1810.00000, 1009.00000
1836.00000, 1009.00000
1860.00000, 1009.00000
1885.00000, 998.00000
1909.00000, 998.00000
1933.00000, 1000.00000
1958.00000, 999.00000
1982.00000, 1003.00000
2007.00000, 1003.00000
2032.00000, 1005.00000
2057.00000, 998.00000
2080.00000, 997.00000
2105.00000, 1004.00000
2130.00000, 1006.00000
2154.00000, 1006.00000
2180.00000, 1006.00000
2204.00000, 1004.00000
2230.00000, 993.00000
2253.00000, 991.00000
2277.00000, 1002.00000
2303.00000, 997.00000
2326.00000, 1000.00000
2351.00000, 1003.00000
2376.00000, 1001.00000
2401.00000, 996.00000
2424.00000, 993.00000
2449.00000, 1003.00000
2474.00000, 994.00000
2498.00000, 997.00000
2522.00000, 994.00000
2545.00000, 992.00000
2570.00000, 998.00000
2593.00000, 1004.00000
2618.00000, 993.00000
2643.00000, 997.00000
2666.00000, 993.00000
2690.00000, 1005.00000
2715.00000, 1006.00000
2740.00000, 1005.00000
2765.00000, 995.00000
2789.00000, 1003.00000
2814.00000, 1005.00000
2839.00000, 1004.00000
2864.00000, 1005.00000
2888.00000, 1004.00000
2914.00000, 1000.00000
2939.00000, 993.00000
2963.00000, 1003.00000
2988.00000, 1006.00000
3012.00000, 1005.00000
3038.00000, 1003.00000
3062.00000, 1002.00000
3087.00000, 1005.00000
3113.00000, 1006.00000
3137.00000, 1005.00000
3163.00000, 1005.00000
3187.00000, 1005.00000
3212.00000, 1006.00000
3238.00000, 1006.00000
3262.00000, 1005.00000
3287.00000, 1005.00000
3312.00000, 1005.00000
3337.00000, 1006.00000
3362.00000, 1006.00000
3387.00000, 1005.00000
3412.00000, 1005.00000
3437.00000, 1005.00000
3462.00000, 1005.00000
3486.00000, 1006.00000
3512.00000, 1005.00000
3537.00000, 1005.00000
3562.00000, 1005.00000
3587.00000, 1005.00000
3611.00000, 1005.00000
3637.00000, 1005.00000
3661.00000, 1006.00000
3686.00000, 1006.00000
3712.00000, 1006.00000
3736.00000, 1006.00000
3762.00000, 1006.00000
3786.00000, 1005.00000
3811.00000, 1005.00000
3837.00000, 1006.00000
3861.00000, 1005.00000
3886.00000, 1006.00000
3911.00000, 1005.00000
3936.00000, 1005.00000
3962.00000, 1005.00000
3986.00000, 1005.00000
4011.00000, 1006.00000
4036.00000, 1006.00000
4061.00000, 1006.00000
4085.00000, 1005.00000
4111.00000, 1006.00000
4136.00000, 1006.00000
4161.00000, 1006.00000
4186.00000, 1006.00000
4210.00000, 1006.00000
4236.00000, 1006.00000
4261.00000, 1006.00000
4285.00000, 1006.00000
4311.00000, 1006.00000
4335.00000, 1006.00000
4361.00000, 1007.00000
4385.00000, 1006.00000
4410.00000, 1006.00000
4436.00000, 1006.00000
4460.00000, 1006.00000
4485.00000, 1006.00000
4510.00000, 1006.00000
4535.00000, 1006.00000
4561.00000, 1006.00000
4585.00000, 1006.00000
4610.00000, 1006.00000
4635.00000, 1005.00000
4660.00000, 1006.00000
4684.00000, 1006.00000
4710.00000, 1006.00000
4735.00000, 1006.00000
4760.00000, 1006.00000
4785.00000, 1006.00000
4809.00000, 1006.00000
4835.00000, 1006.00000
4860.00000, 1006.00000
4884.00000, 1006.00000
4910.00000, 1006.00000
4934.00000, 1006.00000
4960.00000, 1006.00000
4984.00000, 1006.00000
5009.00000, 1006.00000
5035.00000, 1006.00000
5059.00000, 1006.00000
5084.00000, 1006.00000
5109.00000, 1007.00000
5134.00000, 1006.00000
5160.00000, 1006.00000
5184.00000, 1006.00000
5209.00000, 1006.00000
5234.00000, 1006.00000
5259.00000, 1006.00000
5284.00000, 1006.00000
5309.00000, 1006.00000
5334.00000, 1006.00000
5359.00000, 1006.00000
5384.00000, 1006.00000
5408.00000, 1006.00000
5434.00000, 1006.00000
5459.00000, 1006.00000
5483.00000, 1006.00000
5509.00000, 1006.00000
5533.00000, 1006.00000
5559.00000, 1006.00000
5584.00000, 1006.00000
5608.00000, 1006.00000
5634.00000, 1006.00000
5658.00000, 1006.00000
5683.00000, 1006.00000
5708.00000, 1006.00000
5733.00000, 1006.00000
5759.00000, 1006.00000
5783.00000, 1006.00000
5808.00000, 1007.00000
5833.00000, 1006.00000
5858.00000, 1006.00000
5883.00000, 1006.00000
5908.00000, 1006.00000
5933.00000, 1006.00000
5958.00000, 1006.00000
5983.00000, 1006.00000
6007.00000, 1006.00000
6033.00000, 1006.00000
6058.00000, 1006.00000
6082.00000, 1006.00000
6108.00000, 1006.00000
6132.00000, 1006.00000
6158.00000, 1006.00000
6183.00000, 1006.00000
6207.00000, 1006.00000
6233.00000, 1006.00000
6257.00000, 1007.00000
6282.00000, 1006.00000
6308.00000, 1006.00000
6332.00000, 1006.00000
6358.00000, 1006.00000
6382.00000, 1006.00000
6407.00000, 1006.00000
6432.00000, 1006.00000
6457.00000, 1006.00000
6482.00000, 1006.00000
6507.00000, 1006.00000
6532.00000, 1006.00000
6557.00000, 1006.00000
6582.00000, 1006.00000
6607.00000, 1006.00000
6632.00000, 1006.00000
6657.00000, 1006.00000
6681.00000, 1006.00000
6707.00000, 1006.00000
6731.00000, 1006.00000
6757.00000, 1006.00000
6782.00000, 1006.00000
6806.00000, 1006.00000
6832.00000, 1006.00000
6856.00000, 1007.00000
6881.00000, 1006.00000
6907.00000, 1006.00000
6931.00000, 1006.00000
6957.00000, 1006.00000
6981.00000, 1006.00000
7006.00000, 1006.00000
7031.00000, 1006.00000
7056.00000, 1006.00000
7081.00000, 1006.00000
7106.00000, 1006.00000
7131.00000, 1007.00000
7156.00000, 1006.00000
7181.00000, 1006.00000
7206.00000, 1006.00000
7231.00000, 1006.00000
7256.00000, 1006.00000
7280.00000, 1006.00000
7306.00000, 1006.00000
7330.00000, 1006.00000
7356.00000, 1006.00000
7381.00000, 1006.00000
7405.00000, 1006.00000
7431.00000, 1007.00000
7455.00000, 1006.00000
7480.00000, 1006.00000
7506.00000, 1007.00000
7530.00000, 1006.00000
7556.00000, 1006.00000
7580.00000, 1006.00000
7605.00000, 1006.00000
7631.00000, 1006.00000
7655.00000, 1006.00000
7680.00000, 1006.00000
7705.00000, 1006.00000
7730.00000, 1006.00000
7755.00000, 1007.00000
7780.00000, 1007.00000
7805.00000, 1006.00000
7830.00000, 1006.00000
7855.00000, 1006.00000
7879.00000, 1006.00000
7905.00000, 1006.00000
7930.00000, 1006.00000
7955.00000, 1006.00000
7980.00000, 1006.00000
8004.00000, 1006.00000
8030.00000, 1006.00000
8054.00000, 1006.00000
8079.00000, 1006.00000
8105.00000, 1006.00000
8129.00000, 1006.00000
8155.00000, 1006.00000
8179.00000, 1006.00000
8204.00000, 1006.00000
8230.00000, 1006.00000
8254.00000, 1006.00000
8279.00000, 1006.00000
8304.00000, 1006.00000
8329.00000, 1006.00000
8354.00000, 1006.00000
8379.00000, 1006.00000
8404.00000, 1006.00000
8429.00000, 1007.00000
8454.00000, 1006.00000
8478.00000, 1006.00000
8504.00000, 1007.00000
8529.00000, 1006.00000
8554.00000, 1006.00000
8579.00000, 1006.00000
8603.00000, 1006.00000
8629.00000, 1007.00000
8653.00000, 1006.00000
8678.00000, 1006.00000
8704.00000, 1006.00000
8728.00000, 1006.00000
8754.00000, 1006.00000
8778.00000, 1006.00000
8803.00000, 1006.00000
8829.00000, 1006.00000
8853.00000, 1006.00000
8878.00000, 1006.00000
8903.00000, 1006.00000
8928.00000, 1006.00000
8954.00000, 1006.00000
8978.00000, 1006.00000
9003.00000, 1006.00000
9028.00000, 1006.00000
9053.00000, 1006.00000
9077.00000, 1006.00000
9103.00000, 1006.00000
9128.00000, 1006.00000
9153.00000, 1006.00000
9178.00000, 1006.00000
9202.00000, 1006.00000
9228.00000, 1006.00000
9253.00000, 1006.00000
9277.00000, 1006.00000
9303.00000, 1006.00000
9327.00000, 1007.00000
9353.00000, 1007.00000
9377.00000, 1007.00000
9402.00000, 1006.00000
9428.00000, 1006.00000
9452.00000, 1006.00000
9477.00000, 1006.00000
9502.00000, 1006.00000
9527.00000, 1006.00000
9553.00000, 1006.00000
9577.00000, 1006.00000
9602.00000, 1007.00000
9627.00000, 1006.00000
9652.00000, 1006.00000
9676.00000, 1006.00000
9702.00000, 1006.00000
9727.00000, 1006.00000
9752.00000, 1006.00000
9777.00000, 1006.00000
9801.00000, 1006.00000
9827.00000, 1006.00000
9852.00000, 1006.00000
9876.00000, 1006.00000
9902.00000, 1006.00000
9926.00000, 1006.00000
9952.00000, 1006.00000
9976.00000, 1006.00000
