Time, v, b, c, g, gy, y, o, r, cl, nir
0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
290.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.30518, 0.00000
394.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
574.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
824.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
930.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
1037.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
1576.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
1683.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
2440.00000, 0.00000, 0.00000, 0.00000, 0.30518, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
2546.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000
2724.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2829.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
3517.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.15259, 0.00000, 0.00000, 0.00000
3624.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15259, 0.15259, 0.15259, 0.00000, 0.45776, 0.00000
3732.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.30518, 0.15259, 0.15259, 0.00000, 0.45776, 0.00000
3836.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.30518, 0.15259, 0.15259, 0.00000, 0.61035, 0.00000
3944.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.30518, 0.30518, 0.15259, 0.00000, 0.61035, 0.00000
4050.00000, 0.00000, 0.00000, 0.15259, 0.00000, 0.30518, 0.30518, 0.45776, 0.00000, 0.61035, 0.00000
