
Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
0.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.48936, -0.48936, -0.48936
220.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.48827, 0.00218, -0.24359
373.00000, 12.96997, 53.71094, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.32621, -0.00427, -0.00070
528.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.24520, 0.00209, -0.00055
681.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.19574, 0.00000, 0.00042
835.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.16312, 0.00000, 0.00000
988.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.85815, 17.39502, 48.82813, 2.74658, 0.48511, 0.13921, 0.00426, 0.00061
1142.00000, 13.12256, 53.86353, 23.34595, 47.91260, 56.61011, 51.87988, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.12181, -0.00426, 0.00000
1297.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.10898, -0.00209, -0.00071
1452.00000, 12.96997, 53.71094, 23.34595, 47.91260, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.09786, 0.00427, 0.00022
1606.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.08897, -0.00427, 0.00000
1762.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.08173, 0.00209, -0.00018
1917.00000, 13.12256, 53.86353, 23.34595, 48.21777, 56.45752, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.07545, -0.00209, 0.00000
2071.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.07021, 0.00000, -0.00015
2223.00000, 12.96997, 53.86353, 23.34595, 47.91260, 56.45752, 51.87988, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.06539, 0.00209, 0.00014
2378.00000, 12.96997, 53.86353, 23.34595, 47.91260, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.06130, -0.00209, 0.00000
2534.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.05782, 0.00000, -0.00012
2688.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.05461, 0.00000, 0.00000
2843.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.05173, 0.00000, 0.00000
2998.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.04915, 0.00000, 0.00000
3224.00000, 12.96997, 53.86353, 23.34595, 48.21777, 56.61011, 52.03247, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.04671, 0.00209, 0.00010
3378.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.04458, -0.00209, 0.00000
3534.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.04274, 0.00000, -0.00009
3690.00000, 12.96997, 53.71094, 23.34595, 47.91260, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.04078, 0.00427, 0.00018
3843.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.03906, -0.00218, 0.00008
3998.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.03756, 0.00218, 0.00000
4152.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.03625, -0.00427, -0.00008
4308.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.03495, 0.00427, 0.00000
4463.00000, 12.96997, 53.86353, 23.34595, 48.21777, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.03375, -0.00427, 0.00000
4619.00000, 13.12256, 53.71094, 23.34595, 48.06519, 56.61011, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.03276, 0.00000, -0.00014
4772.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.03157, 0.00427, 0.00014
4925.00000, 13.12256, 53.71094, 23.34595, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.03058, -0.00427, 0.00000
5080.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 51.87988, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.02972, 0.00209, -0.00007
5236.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.02885, -0.00209, 0.00000
5391.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.02796, 0.00427, 0.00006
5618.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.02718, -0.00427, 0.00000
5772.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.85815, 17.39502, 48.82813, 2.74658, 0.48511, 0.02639, 0.00635, 0.00006
5926.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.02559, -0.00207, 0.00011
6082.00000, 12.96997, 53.86353, 23.34595, 48.21777, 56.45752, 51.87988, 35.70557, 17.39502, 48.82813, 2.74658, 0.48718, 0.02498, 0.00000, -0.00005
6238.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.02441, -0.00218, -0.00005
6393.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.02392, -0.00209, -0.00010
6550.00000, 12.96997, 53.86353, 23.34595, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.02340, 0.00000, -0.00005
6705.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.82813, 2.74658, 0.49145, 0.02286, 0.00000, 0.00000
