Time, Value
0.00000, 974.00000
0.00000, 1008.00000
1.00000, 1009.00000
10.00000, 1008.00000
33.00000, 1009.00000
56.00000, 1008.00000
79.00000, 1009.00000
101.00000, 1008.00000
126.00000, 1008.00000
149.00000, 1008.00000
173.00000, 1008.00000
197.00000, 1009.00000
221.00000, 1009.00000
245.00000, 1008.00000
269.00000, 1008.00000
293.00000, 1009.00000
316.00000, 1009.00000
341.00000, 1009.00000
364.00000, 1008.00000
389.00000, 1008.00000
413.00000, 1009.00000
436.00000, 1009.00000
461.00000, 1008.00000
484.00000, 1008.00000
508.00000, 1009.00000
532.00000, 1009.00000
556.00000, 1008.00000
579.00000, 1009.00000
604.00000, 1008.00000
628.00000, 1009.00000
652.00000, 1009.00000
676.00000, 1009.00000
699.00000, 1008.00000
724.00000, 1008.00000
747.00000, 1008.00000
771.00000, 1008.00000
795.00000, 1009.00000
819.00000, 1009.00000
843.00000, 1008.00000
867.00000, 1008.00000
891.00000, 1009.00000
914.00000, 1009.00000
939.00000, 1009.00000
962.00000, 1008.00000
987.00000, 1008.00000
1011.00000, 1008.00000
1035.00000, 1009.00000
1061.00000, 1009.00000
1085.00000, 1008.00000
1110.00000, 1008.00000
1135.00000, 1009.00000
1160.00000, 1009.00000
1186.00000, 1009.00000
1210.00000, 1008.00000
1235.00000, 1008.00000
1260.00000, 1008.00000
1285.00000, 1009.00000
1310.00000, 1009.00000
1335.00000, 1008.00000
1360.00000, 1009.00000
1385.00000, 1008.00000
1410.00000, 1008.00000
1434.00000, 1009.00000
1460.00000, 1008.00000
1485.00000, 1009.00000
1509.00000, 1008.00000
1535.00000, 1009.00000
1559.00000, 1009.00000
1585.00000, 1008.00000
1610.00000, 1008.00000
1634.00000, 1009.00000
1660.00000, 1009.00000
1684.00000, 1009.00000
1709.00000, 1009.00000
1735.00000, 1008.00000
1759.00000, 1009.00000
1785.00000, 1009.00000
1809.00000, 1008.00000
1834.00000, 1008.00000
1859.00000, 1005.00000
1884.00000, 992.00000
1908.00000, 1005.00000
1933.00000, 1007.00000
1958.00000, 979.00000
1982.00000, 1004.00000
2007.00000, 1005.00000
2031.00000, 979.00000
2056.00000, 999.00000
2080.00000, 1000.00000
2104.00000, 996.00000
2129.00000, 978.00000
2152.00000, 992.00000
2176.00000, 1000.00000
2201.00000, 1001.00000
2226.00000, 984.00000
2251.00000, 968.00000
2274.00000, 1002.00000
2299.00000, 997.00000
2323.00000, 1002.00000
2348.00000, 1000.00000
2372.00000, 998.00000
2397.00000, 999.00000
2421.00000, 976.00000
2444.00000, 981.00000
2469.00000, 987.00000
2492.00000, 994.00000
2517.00000, 985.00000
2540.00000, 980.00000
2564.00000, 998.00000
2589.00000, 987.00000
2612.00000, 994.00000
2636.00000, 981.00000
2660.00000, 989.00000
2684.00000, 992.00000
2707.00000, 1000.00000
2733.00000, 992.00000
2756.00000, 997.00000
2781.00000, 998.00000
2805.00000, 989.00000
2828.00000, 981.00000
2853.00000, 995.00000
2876.00000, 1002.00000
2901.00000, 997.00000
2925.00000, 984.00000
2949.00000, 979.00000
2973.00000, 989.00000
2997.00000, 985.00000
3021.00000, 993.00000
3045.00000, 996.00000
3069.00000, 996.00000
3092.00000, 1001.00000
3118.00000, 1002.00000
3143.00000, 1001.00000
3167.00000, 993.00000
3192.00000, 984.00000
3215.00000, 984.00000
3239.00000, 985.00000
3263.00000, 992.00000
3287.00000, 988.00000
3311.00000, 974.00000
3335.00000, 983.00000
3359.00000, 986.00000
3383.00000, 977.00000
3407.00000, 987.00000
3430.00000, 998.00000
3455.00000, 975.00000
3478.00000, 989.00000
3502.00000, 1001.00000
3528.00000, 1003.00000
3552.00000, 1002.00000
3578.00000, 996.00000
3601.00000, 1002.00000
3626.00000, 1002.00000
3651.00000, 1002.00000
3676.00000, 1002.00000
3701.00000, 1001.00000
3726.00000, 1002.00000
3751.00000, 1002.00000
3775.00000, 1002.00000
3801.00000, 1002.00000
3826.00000, 1002.00000
3851.00000, 1002.00000
3876.00000, 1002.00000
3900.00000, 1002.00000
3926.00000, 1002.00000
3950.00000, 1003.00000
3975.00000, 1002.00000
4001.00000, 1003.00000
4025.00000, 1002.00000
4051.00000, 1003.00000
4075.00000, 1003.00000
4100.00000, 1003.00000
4126.00000, 1003.00000
4150.00000, 1002.00000
4175.00000, 1003.00000
4200.00000, 1003.00000
4225.00000, 1003.00000
4250.00000, 1002.00000
4275.00000, 1003.00000
4300.00000, 1003.00000
4325.00000, 1002.00000
4350.00000, 1003.00000
4374.00000, 1003.00000
4400.00000, 1003.00000
4425.00000, 1003.00000
4450.00000, 1003.00000
4475.00000, 1003.00000
4499.00000, 1003.00000
4525.00000, 1003.00000
4549.00000, 1003.00000
4574.00000, 1003.00000
4600.00000, 1003.00000
4624.00000, 1003.00000
4650.00000, 1003.00000
4674.00000, 1003.00000
4699.00000, 1003.00000
4725.00000, 1003.00000
4749.00000, 1002.00000
4774.00000, 1003.00000
4799.00000, 1003.00000
4824.00000, 1003.00000
4850.00000, 1003.00000
4874.00000, 1003.00000
4899.00000, 1003.00000
4924.00000, 1003.00000
4949.00000, 1003.00000
4973.00000, 1003.00000
4999.00000, 1003.00000
5024.00000, 1003.00000
5049.00000, 1003.00000
5074.00000, 1003.00000
5098.00000, 1003.00000
5124.00000, 1003.00000
5149.00000, 1003.00000
5173.00000, 1003.00000
5199.00000, 1003.00000
5223.00000, 1003.00000
5249.00000, 1003.00000
5273.00000, 1003.00000
5298.00000, 1003.00000
5324.00000, 1003.00000
5348.00000, 1003.00000
5373.00000, 1003.00000
5398.00000, 1003.00000
5423.00000, 1003.00000
5449.00000, 1003.00000
5473.00000, 1003.00000
5498.00000, 1003.00000
5523.00000, 1003.00000
5548.00000, 1003.00000
5572.00000, 1002.00000
5598.00000, 1003.00000
5623.00000, 1003.00000
5648.00000, 1003.00000
5673.00000, 1003.00000
5697.00000, 1003.00000
5723.00000, 1003.00000
5748.00000, 1003.00000
5772.00000, 1003.00000
5798.00000, 1003.00000
5822.00000, 1003.00000
5848.00000, 1004.00000
5872.00000, 1003.00000
5897.00000, 1003.00000
5923.00000, 1003.00000
5947.00000, 1003.00000
5972.00000, 1003.00000
5997.00000, 1003.00000
6022.00000, 1003.00000
6048.00000, 1003.00000
6072.00000, 1003.00000
6097.00000, 1003.00000
6122.00000, 1003.00000
6147.00000, 1003.00000
6171.00000, 1003.00000
6197.00000, 1003.00000
6222.00000, 1003.00000
6247.00000, 1003.00000
6272.00000, 1003.00000
6296.00000, 1003.00000
6322.00000, 1003.00000
6347.00000, 1003.00000
6371.00000, 1003.00000
6397.00000, 1003.00000
6421.00000, 1003.00000
6447.00000, 1003.00000
6472.00000, 1003.00000
6496.00000, 1003.00000
6522.00000, 1003.00000
6546.00000, 1003.00000
6571.00000, 1003.00000
6596.00000, 1003.00000
6621.00000, 1003.00000
6647.00000, 1003.00000
6671.00000, 1003.00000
6696.00000, 1003.00000
6721.00000, 1003.00000
6746.00000, 1003.00000
6771.00000, 1003.00000
6796.00000, 1004.00000
6821.00000, 1003.00000
6846.00000, 1003.00000
6871.00000, 1003.00000
6895.00000, 1003.00000
6921.00000, 1004.00000
6946.00000, 1003.00000
6970.00000, 1003.00000
6996.00000, 1003.00000
7020.00000, 1003.00000
7046.00000, 1003.00000
7071.00000, 1003.00000
7095.00000, 1003.00000
7121.00000, 1003.00000
7145.00000, 1004.00000
7170.00000, 1003.00000
7195.00000, 1003.00000
7220.00000, 1003.00000
7246.00000, 1003.00000
7270.00000, 1003.00000
7295.00000, 1003.00000
7320.00000, 1003.00000
7345.00000, 1003.00000
7370.00000, 1003.00000
7395.00000, 1003.00000
7420.00000, 1003.00000
7445.00000, 1003.00000
7470.00000, 1004.00000
7495.00000, 1003.00000
7520.00000, 1003.00000
7545.00000, 1004.00000
7569.00000, 1004.00000
7595.00000, 1003.00000
7619.00000, 1003.00000
7645.00000, 1003.00000
7670.00000, 1004.00000
7694.00000, 1003.00000
7720.00000, 1004.00000
7744.00000, 1003.00000
7769.00000, 1003.00000
7795.00000, 1004.00000
7819.00000, 1003.00000
7845.00000, 1003.00000
7869.00000, 1003.00000
7894.00000, 1004.00000
7919.00000, 1004.00000
7944.00000, 1003.00000
7969.00000, 1003.00000
7994.00000, 1004.00000
8019.00000, 1003.00000
8044.00000, 1003.00000
8069.00000, 1003.00000
8094.00000, 1003.00000
8119.00000, 1003.00000
8144.00000, 1004.00000
8168.00000, 1003.00000
8194.00000, 1004.00000
8218.00000, 1004.00000
8244.00000, 1003.00000
8269.00000, 1004.00000
8293.00000, 1003.00000
8319.00000, 1003.00000
8343.00000, 1003.00000
8368.00000, 1004.00000
8394.00000, 1003.00000
8418.00000, 1004.00000
8444.00000, 1003.00000
8468.00000, 1004.00000
8493.00000, 1004.00000
8519.00000, 1003.00000
8543.00000, 1004.00000
8568.00000, 1003.00000
8593.00000, 1003.00000
8618.00000, 1003.00000
8643.00000, 1004.00000
8668.00000, 1003.00000
8693.00000, 1003.00000
8718.00000, 1003.00000
8743.00000, 1003.00000
8767.00000, 1003.00000
8793.00000, 1004.00000
8818.00000, 1003.00000
8843.00000, 1003.00000
8868.00000, 1003.00000
8892.00000, 1003.00000
8918.00000, 1003.00000
8942.00000, 1003.00000
8967.00000, 1004.00000
8993.00000, 1003.00000
9017.00000, 1003.00000
9043.00000, 1003.00000
9067.00000, 1004.00000
9092.00000, 1003.00000
9118.00000, 1003.00000
9142.00000, 1004.00000
9167.00000, 1004.00000
9192.00000, 1004.00000
9217.00000, 1003.00000
9242.00000, 1004.00000
9267.00000, 1003.00000
9292.00000, 1003.00000
9317.00000, 1003.00000
9342.00000, 1004.00000
9366.00000, 1003.00000
9392.00000, 1004.00000
9417.00000, 1003.00000
9442.00000, 1003.00000
9467.00000, 1003.00000
9491.00000, 1004.00000
9517.00000, 1003.00000
9541.00000, 1003.00000
9566.00000, 1004.00000
9592.00000, 1003.00000
9616.00000, 1003.00000
9642.00000, 1004.00000
9666.00000, 1004.00000
9691.00000, 1004.00000
9717.00000, 1003.00000
9741.00000, 1004.00000
9766.00000, 1004.00000
9791.00000, 1004.00000
9816.00000, 1003.00000
9842.00000, 1003.00000
9866.00000, 1003.00000
9891.00000, 1003.00000
9916.00000, 1004.00000
9941.00000, 1003.00000
9965.00000, 1003.00000
9991.00000, 1003.00000
10016.00000, 1004.00000
10042.00000, 1003.00000
10068.00000, 1004.00000
10093.00000, 1003.00000
10120.00000, 1003.00000
10146.00000, 1003.00000
10172.00000, 1003.00000
10198.00000, 1003.00000
10223.00000, 1003.00000
10250.00000, 1004.00000
10276.00000, 1004.00000
10302.00000, 1003.00000
10328.00000, 1004.00000
10354.00000, 1004.00000
10380.00000, 1003.00000
10406.00000, 1003.00000
10431.00000, 1004.00000
10458.00000, 1004.00000
10484.00000, 1004.00000
10510.00000, 1004.00000
10536.00000, 1004.00000
10561.00000, 1004.00000
10588.00000, 1004.00000
10614.00000, 1003.00000
10640.00000, 1004.00000
10666.00000, 1003.00000
10691.00000, 1004.00000
10718.00000, 1004.00000
10744.00000, 1004.00000
10770.00000, 1004.00000
10796.00000, 1004.00000
10821.00000, 1004.00000
10848.00000, 1004.00000
10874.00000, 1004.00000
10900.00000, 1004.00000
10926.00000, 1004.00000
10952.00000, 1004.00000
10978.00000, 1004.00000
11004.00000, 1004.00000
11029.00000, 1004.00000
11056.00000, 1004.00000
11082.00000, 1004.00000
11108.00000, 1004.00000
11134.00000, 1003.00000
11159.00000, 1003.00000
11186.00000, 1003.00000
11212.00000, 1003.00000
11238.00000, 1004.00000
11264.00000, 1004.00000
11289.00000, 1004.00000
11316.00000, 1004.00000
11342.00000, 1003.00000
11368.00000, 1003.00000
11394.00000, 1004.00000
11419.00000, 1003.00000
11446.00000, 1003.00000
11472.00000, 1003.00000
11498.00000, 1004.00000
11524.00000, 1004.00000
11550.00000, 1003.00000
11576.00000, 1004.00000
11602.00000, 1004.00000
11627.00000, 1004.00000
11654.00000, 1003.00000
11680.00000, 1004.00000
11706.00000, 1004.00000
11732.00000, 1004.00000
11757.00000, 1003.00000
11784.00000, 1003.00000
11810.00000, 1004.00000
11836.00000, 1003.00000
11862.00000, 1004.00000
11887.00000, 1004.00000
11914.00000, 1003.00000
11940.00000, 1004.00000
11966.00000, 1003.00000
11992.00000, 1004.00000
12018.00000, 1004.00000
12044.00000, 1003.00000
12070.00000, 1004.00000
12095.00000, 1003.00000
12122.00000, 1003.00000
12148.00000, 1003.00000
12174.00000, 1004.00000
12200.00000, 1004.00000
12225.00000, 1004.00000
12252.00000, 1004.00000
12278.00000, 1003.00000
12304.00000, 1004.00000
12330.00000, 1003.00000
12355.00000, 1004.00000
12382.00000, 1004.00000
12408.00000, 1004.00000
12434.00000, 1003.00000
12460.00000, 1003.00000
12485.00000, 1003.00000
12512.00000, 1004.00000
12538.00000, 1003.00000
12564.00000, 1003.00000
12590.00000, 1003.00000
12616.00000, 1004.00000
12642.00000, 1003.00000
12668.00000, 1004.00000
12693.00000, 1003.00000
12720.00000, 1004.00000
12746.00000, 1004.00000
12772.00000, 1004.00000
12798.00000, 1004.00000
12823.00000, 1004.00000
12850.00000, 1004.00000
12876.00000, 1004.00000
12902.00000, 1004.00000
12928.00000, 1003.00000
12953.00000, 1004.00000
12980.00000, 1004.00000
13006.00000, 1004.00000
13032.00000, 1004.00000
13058.00000, 1003.00000
13083.00000, 1004.00000
13110.00000, 1004.00000
13136.00000, 1004.00000
13162.00000, 1004.00000
13188.00000, 1004.00000
13214.00000, 1004.00000
13240.00000, 1004.00000
13266.00000, 1003.00000
13291.00000, 1004.00000
13318.00000, 1004.00000
13344.00000, 1003.00000
13370.00000, 1004.00000
13396.00000, 1004.00000
13421.00000, 1004.00000
13448.00000, 1003.00000
13474.00000, 1004.00000
13500.00000, 1004.00000
13526.00000, 1004.00000
13551.00000, 1004.00000
13578.00000, 1003.00000
13604.00000, 1004.00000
13630.00000, 1004.00000
13656.00000, 1004.00000
13682.00000, 1004.00000
13708.00000, 1004.00000
13734.00000, 1004.00000
13759.00000, 1003.00000
13786.00000, 1004.00000
13812.00000, 1004.00000
13838.00000, 1004.00000
13864.00000, 1004.00000
13889.00000, 1004.00000
13916.00000, 1004.00000
13942.00000, 1004.00000
13968.00000, 1004.00000
13994.00000, 1004.00000
14019.00000, 1004.00000
14046.00000, 1004.00000
14072.00000, 1003.00000
14098.00000, 1004.00000
14124.00000, 1004.00000
14149.00000, 1004.00000
14176.00000, 1004.00000
14202.00000, 1004.00000
14228.00000, 1004.00000
14254.00000, 1004.00000
14280.00000, 1004.00000
14306.00000, 1004.00000
14332.00000, 1004.00000
14357.00000, 1004.00000
14384.00000, 1004.00000
14410.00000, 1004.00000
14436.00000, 1003.00000
14462.00000, 1004.00000
14487.00000, 1004.00000
14514.00000, 1004.00000
14540.00000, 1004.00000
14566.00000, 1004.00000
14592.00000, 1004.00000
14617.00000, 1004.00000
14644.00000, 1004.00000
14670.00000, 1004.00000
14696.00000, 1004.00000
14722.00000, 1004.00000
14747.00000, 1004.00000
14774.00000, 1004.00000
14800.00000, 1004.00000
14826.00000, 1004.00000
14852.00000, 1004.00000
14878.00000, 1004.00000
14904.00000, 1004.00000
14930.00000, 1004.00000
14955.00000, 1004.00000
14982.00000, 1004.00000
15008.00000, 1004.00000
15034.00000, 1004.00000
15060.00000, 1004.00000
15085.00000, 1004.00000
15112.00000, 1004.00000
15138.00000, 1004.00000
15164.00000, 1004.00000
15190.00000, 1004.00000
15215.00000, 1004.00000
15242.00000, 1004.00000
15268.00000, 1004.00000
15294.00000, 1004.00000
15320.00000, 1004.00000
15346.00000, 1004.00000
15372.00000, 1004.00000
15398.00000, 1004.00000
15423.00000, 1004.00000
15450.00000, 1004.00000
15476.00000, 1004.00000
15502.00000, 1003.00000
15528.00000, 1004.00000
15553.00000, 1004.00000
15580.00000, 1004.00000
15606.00000, 1004.00000
15632.00000, 1004.00000
15658.00000, 1004.00000
15683.00000, 1003.00000
15710.00000, 1004.00000
15736.00000, 1003.00000
15762.00000, 1004.00000
15788.00000, 1004.00000
15813.00000, 1004.00000
15840.00000, 1004.00000
15866.00000, 1004.00000
15892.00000, 1004.00000
15918.00000, 1004.00000
15944.00000, 1004.00000
15970.00000, 1004.00000
15996.00000, 1004.00000
16021.00000, 1004.00000
16048.00000, 1004.00000
16074.00000, 1004.00000
16100.00000, 1003.00000
16126.00000, 1004.00000
16151.00000, 1004.00000
16178.00000, 1004.00000
16204.00000, 1004.00000
16230.00000, 1004.00000
16256.00000, 1004.00000
16281.00000, 1004.00000
16308.00000, 1003.00000
16334.00000, 1004.00000
16360.00000, 1004.00000
16386.00000, 1004.00000
16411.00000, 1004.00000
16438.00000, 1004.00000
16464.00000, 1003.00000
16490.00000, 1003.00000
16516.00000, 1004.00000
16542.00000, 1004.00000
16568.00000, 1003.00000
16594.00000, 1004.00000
16619.00000, 1003.00000
16646.00000, 1004.00000
16672.00000, 1004.00000
16698.00000, 1004.00000
16724.00000, 1004.00000
16749.00000, 1004.00000
16776.00000, 1003.00000
16802.00000, 1004.00000
16828.00000, 1004.00000
