.Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
0.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.49145, -0.49145, -0.49145
220.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.52295, 2.74658, 0.48718, 0.48932, 0.00427, -0.24359
375.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.32621, -0.00427, 0.00000
527.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.24573, 0.00000, -0.00107
681.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.19658, 0.00000, 0.00000
833.00000, 12.96997, 53.86353, 23.19336, 47.91260, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.16382, 0.00000, 0.00000
986.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.14042, 0.00000, 0.00000
1137.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.12286, 0.00000, 0.00000
1292.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.10921, 0.00000, 0.00000
1445.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.09786, 0.00427, 0.00043
1599.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.08897, -0.00427, 0.00000
1754.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.08155, 0.00427, 0.00000
1908.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.07528, -0.00427, 0.00000
2064.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.52295, 2.74658, 0.49145, 0.07021, 0.00000, -0.00031
2217.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.06553, 0.00000, 0.00000
2372.00000, 12.96997, 53.86353, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.06143, 0.00000, 0.00000
2525.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.05757, 0.00427, 0.00025
2680.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 51.87988, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.05413, 0.00000, 0.00024
2832.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 51.87988, 35.70557, 17.54761, 48.52295, 2.74658, 0.49145, 0.05151, -0.00427, -0.00022
2988.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.04893, 0.00427, 0.00000
3141.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.04650, -0.00218, 0.00010
3297.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.04458, -0.00209, -0.00019
3454.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.04274, 0.00000, -0.00009
3607.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.39502, 48.67554, 2.74658, 0.48718, 0.04078, 0.00427, 0.00018
3762.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.03915, -0.00427, 0.00000
3918.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 51.87988, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.03780, 0.00000, -0.00016
4072.00000, 12.96997, 53.71094, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.03640, 0.00000, 0.00000
