.86353, 23.19336, 47.91260, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.48971, -0.00427, -0.00756
Time, v, b, c, g, gy, y, o, r, cl, nir, Value, Average Value, Delta, Average Delta
1.00000, 12.96997, 53.71094, 23.19336, 48.21777, 56.45752, 52.18506, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.48936, -0.48936, -0.48936
222.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.48936, 0.00000, -0.24468
376.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.82813, 2.74658, 0.48936, 0.32624, 0.00000, 0.00000
529.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.24468, 0.00000, 0.00000
679.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.19574, 0.00000, 0.00000
834.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.61011, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.16347, -0.00209, -0.00035
990.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.14012, 0.00209, 0.00000
1143.00000, 13.12256, 53.86353, 23.34595, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.12234, 0.00000, 0.00026
1296.00000, 12.96997, 53.71094, 23.19336, 48.06519, 56.45752, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.10875, 0.00000, 0.00000
1450.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.61011, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.09808, -0.00209, -0.00021
1606.00000, 12.96997, 53.71094, 23.34595, 48.06519, 56.61011, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.08936, 0.00000, -0.00019
1762.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.45752, 52.03247, 35.70557, 17.54761, 48.67554, 2.74658, 0.49145, 0.08191, 0.00000, 0.00000
1916.00000, 12.96997, 53.86353, 23.19336, 48.21777, 56.61011, 52.18506, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.07545, 0.00209, 0.00016
2069.00000, 12.96997, 53.86353, 23.19336, 48.06519, 56.61011, 52.18506, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.06991, 0.00000, 0.00015
2220.00000, 13.12256, 53.86353, 23.19336, 48.06519, 56.61011, 52.03247, 35.85815, 17.54761, 48.67554, 2.74658, 0.48936, 0.06525, 0.00000, 0.00000
